Species	BAN001.A0101.SG1.1_10M	BAN001.A0102.SG1.4_10M	CDM019.A0101.SG1.1_10M	CDM019.A0102.SG1.4_10M	CDM020.A0101.SG1.1_10M	CDM020.A0102.SG1.4_10M	FUM001.A0101.SG1.1_10M	FUM001.A0102.SG1.4_10M	FUM002.A0101.SG1.1_10M	FUM002.A0102.SG1.5_10M	FUM003.A0101.SG1.1_10M	FUM003.A0102.SG1.4_10M	GDN001.A0101.SG1.1_10M	GDN001.A0102.SG1.3_10M	GOY005.A0101.SG1.2_10M	GOY005.A0103.SG1.4_10M	GOY006.A0101.SG1.2_10M	GOY006.A0102.SG1.5_10M	GUE001.A0101.SG1.1_10M	GUE001.A0102.SG1.4_10M	PES001.B0101.SG1.3_10M	PES001.B0102.SG1.5_10M	SPM002.A0101.SG1.1_10M	SPM002.A0103.SG1.4_10M	VLD001.A0101.SG1.1_10M	VLD001.A0102.SG1.2_10M	ZAF001.A0101.SG1.1_10M	ZAF001.A0103.SG1.4_10M
Capnocytophaga granulosa	0	0	371	562	9624	12391	15	0	0	0	17	10	0	0	159	148	152	177	0	0	49	53	0	0	0	0	11	10
Capnocytophaga leadbetteri	10	0	176	273	2343	3251	50	15	62	77	79	55	0	0	868	712	198	266	0	0	90	108	0	0	21	0	34	10
Capnocytophaga ochracea	0	0	2137	3723	5201	7862	96	46	89	129	30	19	30	22	1080	926	453	638	0	0	599	879	0	0	55	41	63	17
Capnocytophaga sp000192225	0	0	134	226	346	663	17	10	0	11	16	13	0	0	110	108	48	70	0	0	50	61	0	0	0	0	0	0
Capnocytophaga sp000466425	0	0	45	73	1520	1918	0	0	12	0	18	0	0	0	123	110	99	119	0	0	39	34	0	0	0	0	0	0
Capnocytophaga sp002999135	0	0	54	68	408	621	15	0	73	85	98	74	11	0	1489	1233	291	371	0	0	85	89	0	0	0	0	0	0
Capnocytophaga sp905372595	0	0	0	16	667	969	0	0	0	0	24	22	0	0	146	132	51	83	0	0	39	34	0	0	0	0	0	0
Capnocytophaga sputigena	0	0	268	439	3520	5172	53	10	45	84	91	55	0	0	1970	1591	735	1026	0	0	298	405	0	0	12	0	87	23
Cardiobacterium hominis	0	0	273	174	8973	5064	30	0	46	25	45	11	0	0	426	111	132	73	12	0	58	40	0	0	22	0	44	0
Cardiobacterium valvarum	0	0	1958	1140	27412	15932	293	34	728	419	341	110	93	26	4791	1109	1758	769	0	0	1041	553	10	0	150	41	38	0
