Species	BAN001.A0101.SG1.1_10M_over50bp	BAN001.A0102.SG1.4_10M_over50bp	CDM019.A0101.SG1.1_10M_over50bp	CDM019.A0102.SG1.4_10M_over50bp	CDM020.A0101.SG1.1_10M_over50bp	CDM020.A0102.SG1.4_10M_over50bp	FUM001.A0101.SG1.1_10M_over50bp	FUM001.A0102.SG1.4_10M_over50bp	FUM002.A0101.SG1.1_10M_over50bp	FUM002.A0102.SG1.5_10M_over50bp	FUM003.A0101.SG1.1_10M_over50bp	FUM003.A0102.SG1.4_10M_over50bp	GDN001.A0101.SG1.1_10M_over50bp	GDN001.A0102.SG1.3_10M_over50bp	GOY005.A0101.SG1.2_10M_over50bp	GOY005.A0103.SG1.4_10M_over50bp	GOY006.A0101.SG1.2_10M_over50bp	GOY006.A0102.SG1.5_10M_over50bp	GUE001.A0101.SG1.1_10M_over50bp	GUE001.A0102.SG1.4_10M_over50bp	PES001.B0101.SG1.3_10M_over50bp	PES001.B0102.SG1.5_10M_over50bp	SPM002.A0101.SG1.1_10M_over50bp	SPM002.A0103.SG1.4_10M_over50bp	VLD001.A0101.SG1.1_10M_over50bp	VLD001.A0102.SG1.2_10M_over50bp	ZAF001.A0101.SG1.1_10M_over50bp	ZAF001.A0103.SG1.4_10M_over50bp	BAN001.A0101.SG1.1_10M_under50bp	BAN001.A0102.SG1.4_10M_under50bp	CDM019.A0101.SG1.1_10M_under50bp	CDM019.A0102.SG1.4_10M_under50bp	CDM020.A0101.SG1.1_10M_under50bp	CDM020.A0102.SG1.4_10M_under50bp	FUM001.A0101.SG1.1_10M_under50bp	FUM001.A0102.SG1.4_10M_under50bp	FUM002.A0101.SG1.1_10M_under50bp	FUM002.A0102.SG1.5_10M_under50bp	FUM003.A0101.SG1.1_10M_under50bp	FUM003.A0102.SG1.4_10M_under50bp	GDN001.A0101.SG1.1_10M_under50bp	GDN001.A0102.SG1.3_10M_under50bp	GOY005.A0101.SG1.2_10M_under50bp	GOY005.A0103.SG1.4_10M_under50bp	GOY006.A0101.SG1.2_10M_under50bp	GOY006.A0102.SG1.5_10M_under50bp	GUE001.A0101.SG1.1_10M_under50bp	GUE001.A0102.SG1.4_10M_under50bp	PES001.B0101.SG1.3_10M_under50bp	PES001.B0102.SG1.5_10M_under50bp	SPM002.A0101.SG1.1_10M_under50bp	SPM002.A0103.SG1.4_10M_under50bp	VLD001.A0101.SG1.1_10M_under50bp	VLD001.A0102.SG1.2_10M_under50bp	ZAF001.A0101.SG1.1_10M_under50bp	ZAF001.A0103.SG1.4_10M_under50bp
Prevotella buccae	0	0	480	360	297	233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	123	173	82	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella conceptionensis	0	0	2999	2550	3343	2987	79	0	12	11	10	0	0	0	401	174	161	115	0	0	45	25	20	0	19	0	50	0	0	0	1004	1340	1030	1237	33	0	22	27	0	0	0	0	388	212	135	155	0	0	23	42	0	0	0	0	0	0
Prevotella intermedia	0	0	388	430	361	389	38	0	17	14	0	0	0	0	120	55	91	78	0	0	49	44	0	0	14	0	29	0	0	0	130	199	149	208	15	0	40	51	0	0	0	0	103	91	63	107	0	0	33	30	0	0	0	0	0	0
Prevotella koreensis	0	0	1886	1951	369	433	0	0	11	10	0	0	11	0	59	37	123	102	0	0	88	75	0	0	71	28	15	0	0	0	477	803	137	201	48	15	14	34	0	0	0	0	77	45	86	116	0	0	31	85	0	0	85	49	0	0
Prevotella loescheii	0	0	1333	1209	6908	6649	29	0	53	47	10	0	0	0	5680	2649	1654	1114	0	0	543	450	10	0	35	10	66	0	0	0	399	589	2532	3059	55	0	106	123	12	17	0	0	5749	3816	1326	1617	0	0	333	490	0	0	23	16	0	0
Prevotella maculosa	0	0	833	769	238	232	17	0	0	0	14	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	238	381	75	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0
Prevotella micans	0	0	401	392	230	285	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	208	84	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella shahii	0	0	153	177	264	275	0	0	0	0	0	0	0	0	78	56	24	23	0	0	0	0	0	0	0	0	0	0	0	0	60	87	87	131	0	0	0	0	0	0	0	0	78	41	15	21	0	0	12	0	0	0	0	0	0	0
Prevotella sp905373605	0	0	670	554	126	139	0	0	0	0	0	0	0	0	41	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	277	348	53	78	0	0	0	0	0	0	0	0	36	21	11	14	0	0	0	0	0	0	0	0	0	0
Pyramidobacter piscolens	0	0	653	338	793	412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	169	239	224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rothia aeria	14	0	329	174	2479	1785	275	20	16	0	135	25	12	0	868	140	6664	1380	60	0	6142	1974	85	0	44	0	359	39	0	0	87	76	714	803	54	0	0	0	0	0	0	0	438	161	2207	1123	0	0	867	819	13	0	0	0	121	32
Rothia dentocariosa	29	0	453	307	229	171	914	72	69	21	844	197	55	0	506	42	683	124	100	0	456	166	273	17	133	20	1200	133	11	12	115	139	73	90	119	21	15	17	87	65	0	0	63	39	194	84	14	0	83	69	0	11	46	25	253	64
Rothia mucilaginosa	34	0	0	0	0	0	209	20	0	0	76	11	19	0	69	0	29	0	16	0	0	0	77	0	46	0	454	35	0	0	0	0	0	0	33	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	11	0	84	20
SDRW01 sp007845485	0	0	1354	1793	20577	34500	41	0	146	122	25	0	409	119	38	13	162	66	0	0	182	135	0	0	118	40	80	0	0	0	183	440	3202	7508	22	0	102	69	21	0	75	82	20	14	58	51	0	0	28	50	0	0	80	42	0	0
Saccharimonas sp010202265	0	0	3528	3063	9886	8600	251	32	1168	847	69	25	113	32	1003	221	694	299	0	0	265	160	0	0	82	38	0	0	0	0	534	846	1387	2249	126	37	596	613	37	22	18	31	244	116	204	179	0	0	50	59	0	0	42	32	0	0
Saccharimonas sp013333625	0	0	4606	3380	2294	1792	535	53	646	486	70	16	388	84	105	34	329	143	0	0	878	536	0	0	63	0	14	0	0	0	648	961	345	451	252	57	358	289	28	10	71	58	49	21	109	90	0	0	126	168	0	0	54	13	0	0
Saccharimonas sp013333645	0	0	134	91	54	45	0	0	119	62	0	0	71	12	120	15	115	34	0	0	35	24	0	0	216	52	0	0	0	0	13	17	11	0	0	0	59	39	0	0	15	0	43	17	55	26	0	0	0	0	0	0	62	39	0	0
Saccharimonas sp013333795	0	0	4110	3475	2063	1747	419	37	76	47	14	0	423	93	35	0	160	66	0	0	520	334	0	0	228	69	26	0	0	0	613	894	298	478	260	29	51	33	0	0	90	54	21	0	53	54	0	0	81	104	0	0	93	46	0	0
Saccharimonas sp013333845	0	0	5675	5445	2328	2009	619	51	86	46	0	0	326	65	44	15	236	104	0	0	740	458	0	0	18	0	0	0	0	0	787	1418	370	498	341	31	57	32	0	0	59	51	16	12	79	65	0	0	109	157	0	0	19	0	0	0
Saccharimonas sp015257605	0	0	4396	3316	2031	1671	333	48	91	44	0	0	360	79	40	0	172	61	0	0	504	257	0	0	50	11	13	0	0	0	592	955	272	436	261	28	44	27	0	0	100	42	16	0	52	38	0	0	77	118	0	0	36	18	0	0
Saccharimonas sp015257665	0	0	93	69	70	61	52	0	376	142	36	10	37	0	176	19	170	50	0	0	86	28	0	0	75	0	12	0	0	0	17	16	17	23	23	0	177	117	24	0	10	0	76	51	67	44	0	0	15	11	0	0	20	0	0	0
Saccharimonas sp905365145	0	0	5169	4031	2576	2163	549	71	142	105	30	0	736	169	59	20	286	99	0	0	777	461	0	0	64	19	11	0	0	0	706	1089	364	545	390	65	93	75	17	0	158	128	27	14	103	69	0	0	130	157	0	0	36	17	0	0
Saccharimonas sp905371595	0	0	4868	3838	2373	1940	416	62	161	106	21	0	444	95	53	12	243	89	0	0	533	333	0	0	48	19	17	0	0	0	677	1057	325	499	299	51	82	76	13	0	78	67	22	13	92	62	0	0	112	111	0	0	42	13	0	0
Saccharimonas sp905372095	0	0	6943	5569	3088	2508	589	70	132	83	17	0	502	116	61	10	268	94	0	0	702	358	0	0	63	20	13	0	0	0	979	1552	427	652	413	53	67	57	10	0	117	88	34	16	97	75	0	0	116	153	0	0	41	19	0	0
Saccharimonas sp905372275	0	0	5320	4208	2741	2157	594	57	108	74	12	0	804	200	83	15	345	157	0	0	678	356	0	0	58	25	13	0	0	0	783	1135	413	592	375	63	68	61	14	0	163	112	36	18	109	96	0	0	106	136	0	0	41	16	0	0
Saccharimonas sp905373835	0	0	86	39	56	62	20	0	116	54	0	0	33	0	115	23	144	46	0	0	28	14	0	0	0	0	0	0	0	0	0	22	12	17	12	0	58	40	0	0	10	0	68	20	48	47	0	0	0	0	0	0	0	0	0	0
Selenomonas sputigena	0	0	3224	1657	334	204	15	0	41	25	0	0	0	0	12	0	22	0	0	0	62	37	0	0	14	0	11	0	0	0	593	682	75	85	0	0	41	27	0	0	0	0	10	0	10	0	0	0	28	23	0	0	0	0	0	0
Slackia exigua	0	0	7078	2711	1376	604	85	14	102	57	0	0	20	0	10	0	24	0	0	0	427	169	0	0	1244	228	22	0	0	0	1361	1150	312	237	175	22	128	88	0	0	0	0	14	0	13	0	0	0	185	124	0	0	1303	533	0	0
Streptococcus anginosus	0	0	739	1090	222	411	66	0	37	43	27	14	0	0	39	15	37	22	0	0	312	273	0	0	29	12	39	0	0	0	124	316	49	114	52	0	28	42	0	0	0	0	22	18	24	26	0	0	43	90	0	0	0	0	0	0
Streptococcus constellatus	0	0	7432	10855	343	487	166	31	82	89	41	15	0	0	91	53	97	75	0	0	753	525	0	0	84	29	15	0	0	0	1278	3109	58	164	85	13	45	67	23	15	0	0	51	44	30	64	0	0	72	159	0	0	17	21	0	0
Streptococcus cristatus	0	0	3700	4296	5287	6190	2974	426	1165	989	848	228	12	0	1556	538	1276	667	0	0	15813	8350	0	0	821	302	122	16	0	0	588	1195	1129	1808	1245	224	605	668	376	198	0	0	855	619	466	549	0	0	1537	2329	0	0	355	219	69	33
Streptococcus gordonii	0	0	474	785	1967	2479	784	91	181	162	312	124	21	0	716	301	1004	717	12	0	6088	3232	37	0	151	33	532	113	0	0	101	238	382	736	277	50	107	98	169	94	0	0	439	312	418	695	0	0	584	897	0	0	41	28	106	63
Streptococcus intermedius	0	0	795	1161	112	151	195	14	40	32	74	26	0	0	106	44	81	46	0	0	1117	707	0	0	26	0	26	0	0	0	145	331	28	46	52	12	18	19	28	0	0	0	52	50	27	40	0	0	92	180	0	0	15	0	0	0
Streptococcus oralis	0	0	0	0	103	178	55	0	12	11	14	0	0	0	50	23	24	18	0	0	272	183	0	0	0	0	21	0	0	0	0	0	18	36	0	0	0	0	10	0	0	0	13	18	0	0	0	0	13	44	0	0	0	0	0	0
Streptococcus sanguinis	10	0	1318	1408	20899	24215	14785	1977	3297	2604	7149	2297	42	0	12972	4666	6598	3306	29	0	124611	64752	46	12	1243	306	445	111	0	0	278	454	3467	5886	4914	942	1615	1566	3374	1924	0	0	6600	4537	2065	2334	0	0	9417	14920	0	0	368	224	358	173
Streptococcus sinensis	0	0	21354	26664	20862	26367	9462	1550	5692	5106	474	131	59	22	2502	1041	4881	2650	0	0	39404	22435	0	0	5459	1518	36	21	0	0	3166	6806	3632	6745	3495	794	2823	3141	241	139	0	0	1178	898	1687	2108	0	0	3457	5628	0	0	1981	1204	92	60
Streptococcus sp000220065	0	0	81	98	1242	1794	444	69	83	80	166	45	0	0	264	117	163	100	0	0	2760	1482	0	0	49	11	12	0	0	0	11	39	299	492	139	33	38	45	57	40	0	0	151	95	63	82	0	0	250	403	0	0	16	12	0	12
Streptococcus sp905372115	0	0	188	226	3848	4326	1696	228	379	258	834	254	0	0	1460	561	779	378	0	0	14357	7318	0	0	139	33	35	0	0	0	42	58	572	1082	535	119	196	173	362	185	0	0	731	477	277	304	0	0	1147	1719	0	0	36	26	44	15
Tannerella forsythia	0	0	20314	15188	14652	11941	85	14	137	140	22	0	115	66	769	266	658	391	0	0	513	433	0	0	30	11	60	0	0	0	4653	5915	3314	4116	103	33	192	204	0	0	137	115	698	400	565	622	0	0	257	403	0	0	42	34	0	0
Tannerella sp002890585	0	0	2878	1464	2953	1514	16	0	17	0	0	0	0	0	194	32	113	63	0	0	162	65	0	0	0	0	20	0	0	0	565	520	667	539	12	0	0	14	0	0	0	0	183	54	78	57	0	0	75	55	0	0	0	0	0	0
Tannerella sp003033925	0	0	6534	3599	26833	13453	41	0	51	43	15	0	0	0	1594	305	621	253	0	0	1031	451	0	0	25	0	28	0	0	0	1519	1526	5721	5290	14	0	56	48	18	0	0	0	1138	411	388	300	0	0	432	361	0	0	0	0	14	0
Treponema B denticola	0	0	4170	7313	3162	5097	139	41	32	47	0	0	137	145	60	36	125	104	0	0	628	677	0	0	152	44	0	0	0	0	916	2271	733	1428	113	46	39	58	0	0	104	128	48	44	69	114	0	0	149	381	0	0	57	35	0	0
Treponema B putidum	0	0	516	1070	598	1119	26	11	0	0	0	0	32	28	0	0	20	19	0	0	69	100	0	0	13	0	0	0	0	0	132	314	127	324	11	0	0	0	0	0	23	14	10	0	0	27	0	0	15	38	0	0	0	0	0	0
Treponema B sp905372345	0	0	578	912	460	706	19	0	0	0	0	0	28	25	0	0	24	19	0	0	69	82	0	0	23	0	0	0	0	0	144	308	114	209	0	0	0	11	0	0	12	27	10	0	12	14	0	0	16	46	0	0	0	10	0	0
Treponema C lecithinolyticum	0	0	203	201	229	232	0	0	0	0	0	0	33	10	0	0	0	0	0	0	26	15	0	0	0	0	0	0	0	0	52	87	81	141	16	0	0	0	0	0	13	13	0	0	0	0	0	0	0	10	0	0	0	0	0	0
Treponema C maltophilum	0	0	1819	1493	1726	1313	130	16	25	18	0	0	97	24	46	0	52	16	0	0	467	317	0	0	43	0	0	0	0	0	441	592	392	481	55	0	33	28	0	0	29	27	45	16	38	35	0	0	126	155	0	0	34	17	0	0
Treponema C sp905372025	0	0	2374	1956	1824	1391	84	0	27	27	0	0	278	79	47	14	57	31	0	0	498	340	0	0	46	0	0	0	0	0	648	860	441	533	95	23	27	23	0	0	128	105	49	21	37	44	0	0	128	189	0	0	23	15	0	0
Treponema D buccale	0	0	1958	1405	854	655	58	0	17	10	0	0	115	29	30	0	60	27	0	0	401	252	0	0	54	17	0	0	0	0	472	557	207	255	75	0	12	0	0	0	26	61	34	22	33	29	0	0	120	174	0	0	25	20	0	0
Treponema D paredis	0	0	2471	1785	2276	1596	124	22	28	29	0	0	190	52	97	23	127	59	0	0	684	400	0	0	62	11	0	0	0	0	572	680	569	681	90	18	33	23	0	0	41	50	82	36	74	64	0	0	231	198	0	0	49	25	0	0
Treponema D parvum	0	0	344	493	276	295	0	0	0	0	0	0	18	0	0	0	0	0	0	0	88	54	0	0	40	0	0	0	0	0	96	159	70	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	10	0	0	0
Treponema D socranskii	0	0	3194	2418	1383	1050	45	0	0	0	0	0	78	40	22	0	35	20	0	0	267	135	0	0	42	0	0	0	0	0	811	1004	394	444	20	0	13	0	0	0	33	29	15	0	12	18	0	0	88	124	0	0	26	13	0	0
Treponema D sp014334325	0	0	1278	885	1019	744	31	0	10	0	0	0	57	13	17	0	29	10	0	0	137	81	0	0	22	0	0	0	0	0	275	370	246	251	32	0	0	0	0	0	0	13	15	11	13	16	0	0	50	65	0	0	0	10	0	0
Treponema D sp014334335	0	0	271	387	188	230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	158	61	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Treponema sp000775995	0	0	463	527	671	689	0	0	11	0	0	0	0	0	22	0	30	14	0	0	21	33	0	0	0	0	0	0	0	0	105	215	170	196	13	0	0	0	0	0	0	0	15	11	15	17	0	0	0	14	0	0	0	0	0	0
Veillonella parvula	0	0	16	33	0	17	76	10	0	0	19	11	13	0	103	46	40	37	30	0	41	37	47	0	37	13	455	73	0	0	0	21	0	0	0	0	0	0	0	0	0	0	38	42	16	33	0	0	0	14	0	0	16	0	49	28
W11650 sp002999035	0	0	12168	10665	8786	8105	51	14	179	188	11	0	35	38	279	104	357	268	0	0	270	224	0	0	60	15	0	0	0	0	3467	4551	2530	3071	34	20	170	189	17	0	22	27	233	139	233	316	0	0	82	119	0	0	29	20	0	0
W5053 sp000467935	0	0	11090	18796	3888	5960	77	21	273	392	14	0	2132	1540	101	59	600	445	0	0	1557	1574	0	0	135	74	0	0	0	0	2098	5309	1101	2050	27	21	165	286	13	13	1108	1397	75	57	249	469	0	0	264	604	0	0	83	85	0	0
