gc_bin,counts_gc,Study
"(10,11]",5201,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(11,12]",9186,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(12,13]",9448,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(13,14]",13737,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(14,15]",16090,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(15,16]",18907,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(16,17]",19828,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(17,18]",28113,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(18,19]",28673,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(19,20]",44590,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(20,21]",26209,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(21,22]",43260,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(22,23]",42696,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(23,24]",55978,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(24,25]",72114,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(25,26]",37569,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(26,27]",67382,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(27,28]",78836,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(28,29]",73343,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(29,30]",105049,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(30,31]",85935,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(31,32]",129688,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(32,33]",75263,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(33,34]",183024,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(34,35]",150317,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(35,36]",188537,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(36,37]",177699,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(37,38]",188971,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(38,39]",266210,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(39,40]",322956,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(40,41]",131614,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(41,42]",305983,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(42,43]",358361,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(43,44]",264156,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(44,45]",279241,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(45,46]",288951,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(46,47]",401865,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(47,48]",360257,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(48,49]",195549,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(49,50]",940774,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(50,51]",27372,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
