Species	BAN001.A0101.SG1.1_10M	BAN001.A0102.SG1.4_10M	CDM019.A0101.SG1.1_10M	CDM019.A0102.SG1.4_10M	CDM020.A0101.SG1.1_10M	CDM020.A0102.SG1.4_10M	FUM001.A0101.SG1.1_10M	FUM001.A0102.SG1.4_10M	FUM002.A0101.SG1.1_10M	FUM002.A0102.SG1.5_10M	FUM003.A0101.SG1.1_10M	FUM003.A0102.SG1.4_10M	GDN001.A0101.SG1.1_10M	GDN001.A0102.SG1.3_10M	GOY005.A0101.SG1.2_10M	GOY005.A0103.SG1.4_10M	GOY006.A0101.SG1.2_10M	GOY006.A0102.SG1.5_10M	GUE001.A0101.SG1.1_10M	GUE001.A0102.SG1.4_10M	PES001.B0101.SG1.3_10M	PES001.B0102.SG1.5_10M	SPM002.A0101.SG1.1_10M	SPM002.A0103.SG1.4_10M	VLD001.A0101.SG1.1_10M	VLD001.A0102.SG1.2_10M	ZAF001.A0101.SG1.1_10M	ZAF001.A0103.SG1.4_10M	BAN001.A0101.SG1.1_10M_over50bp	BAN001.A0101.SG1.1_10M_under50bp	BAN001.A0102.SG1.4_10M_over50bp	BAN001.A0102.SG1.4_10M_under50bp	CDM019.A0101.SG1.1_10M_over50bp	CDM019.A0101.SG1.1_10M_under50bp	CDM019.A0102.SG1.4_10M_over50bp	CDM019.A0102.SG1.4_10M_under50bp	CDM020.A0101.SG1.1_10M_over50bp	CDM020.A0101.SG1.1_10M_under50bp	CDM020.A0102.SG1.4_10M_over50bp	CDM020.A0102.SG1.4_10M_under50bp	FUM001.A0101.SG1.1_10M_over50bp	FUM001.A0101.SG1.1_10M_under50bp	FUM001.A0102.SG1.4_10M_over50bp	FUM001.A0102.SG1.4_10M_under50bp	FUM002.A0101.SG1.1_10M_over50bp	FUM002.A0101.SG1.1_10M_under50bp	FUM002.A0102.SG1.5_10M_over50bp	FUM002.A0102.SG1.5_10M_under50bp	FUM003.A0101.SG1.1_10M_over50bp	FUM003.A0101.SG1.1_10M_under50bp	FUM003.A0102.SG1.4_10M_over50bp	FUM003.A0102.SG1.4_10M_under50bp	GDN001.A0101.SG1.1_10M_over50bp	GDN001.A0101.SG1.1_10M_under50bp	GDN001.A0102.SG1.3_10M_over50bp	GDN001.A0102.SG1.3_10M_under50bp	GOY005.A0101.SG1.2_10M_over50bp	GOY005.A0101.SG1.2_10M_under50bp	GOY005.A0103.SG1.4_10M_over50bp	GOY005.A0103.SG1.4_10M_under50bp	GOY006.A0101.SG1.2_10M_over50bp	GOY006.A0101.SG1.2_10M_under50bp	GOY006.A0102.SG1.5_10M_over50bp	GOY006.A0102.SG1.5_10M_under50bp	GUE001.A0101.SG1.1_10M_over50bp	GUE001.A0101.SG1.1_10M_under50bp	GUE001.A0102.SG1.4_10M_over50bp	GUE001.A0102.SG1.4_10M_under50bp	PES001.B0101.SG1.3_10M_over50bp	PES001.B0101.SG1.3_10M_under50bp	PES001.B0102.SG1.5_10M_over50bp	PES001.B0102.SG1.5_10M_under50bp	SPM002.A0101.SG1.1_10M_over50bp	SPM002.A0101.SG1.1_10M_under50bp	SPM002.A0103.SG1.4_10M_over50bp	SPM002.A0103.SG1.4_10M_under50bp	VLD001.A0101.SG1.1_10M_over50bp	VLD001.A0101.SG1.1_10M_under50bp	VLD001.A0102.SG1.2_10M_over50bp	VLD001.A0102.SG1.2_10M_under50bp	ZAF001.A0101.SG1.1_10M_over50bp	ZAF001.A0101.SG1.1_10M_under50bp	ZAF001.A0103.SG1.4_10M_over50bp	ZAF001.A0103.SG1.4_10M_under50bp
Arachnia sp013333945	1	0	3961	1611	25788	11448	1369	145	6783	3488	1964	664	725	110	5519	1402	4726	1543	29	2	24072	7804	7	1	270	68	49	17	1	0	0	0	3368	593	1147	464	21468	4320	8059	3389	798	571	79	66	3885	2898	1645	1843	1053	911	244	420	563	162	55	55	2737	2782	540	862	2952	1774	715	828	25	4	0	2	20716	3356	5398	2406	6	1	1	0	168	102	33	35	23	26	3	14
Arachnia sp900607225	0	0	8459	3228	24922	10611	2212	214	3127	1544	468	151	1641	174	4058	1057	3895	1219	8	1	22267	7180	38	4	577	143	48	9	0	0	0	0	7261	1198	2292	936	20565	4357	7384	3227	1194	1018	96	118	1800	1327	782	762	238	230	67	84	1286	355	97	77	1908	2150	378	679	2421	1474	590	629	5	3	1	0	18824	3443	4800	2380	35	3	4	0	327	250	59	84	26	22	1	8
Arachnia sp905372155	0	0	39746	14572	69191	28074	10405	999	8538	3889	867	245	3230	396	6513	1659	6029	1912	13	1	36553	11756	6	0	3262	746	121	28	0	0	0	0	33612	6134	10199	4373	57150	12041	19349	8725	5538	4867	452	547	4866	3672	1754	2135	502	365	91	154	2487	743	214	182	3051	3462	575	1084	3721	2308	874	1038	13	0	0	1	31040	5513	7848	3908	2	4	0	0	1842	1420	283	463	31	90	5	23
Aureimonas A endophytica	1	1	4	3	5	3	33	4	3	2	4	1	10	0	3	2	3176	2426	27	1	2	2	4	0	11	3	149	56	1	0	0	1	3	1	3	0	4	1	3	0	27	6	2	2	2	1	1	1	4	0	0	1	1	9	0	0	2	1	2	0	2755	421	1903	523	23	4	1	0	1	1	2	0	4	0	0	0	8	3	1	2	105	44	33	23
Azonexus agitatus	0	0	5	4	7	4	8	1	3	0	22579	7886	0	0	5	2	2	0	2	0	0	1	3	1	2	0	1	0	0	0	0	0	4	1	2	2	4	3	3	1	8	0	1	0	2	1	0	0	20147	2432	5650	2236	0	0	0	0	5	0	1	1	1	1	0	0	2	0	0	0	0	0	1	0	0	3	1	0	2	0	0	0	1	0	0	0
Azonexus aromaticus A	0	0	4	1	4	1	0	1	1	0	3068	1144	1	0	14	1	9	5	5	0	1	2	2	0	1	0	0	0	0	0	0	0	2	2	1	0	3	1	1	0	0	0	1	0	1	0	0	0	2700	368	802	342	1	0	0	0	7	7	1	0	5	4	3	2	5	0	0	0	1	0	1	1	0	2	0	0	1	0	0	0	0	0	0	0
Azonexus aromaticus B	0	0	5	2	8	0	0	0	4	3	1216	465	8	0	2	3	1	2	1	0	1	0	0	0	1	0	3	0	0	0	0	0	3	2	2	0	7	1	0	0	0	0	0	0	0	4	1	2	1000	216	305	160	0	8	0	0	0	2	2	1	1	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	1	0	0
Azonexus denitrificans	0	0	4	4	8	0	0	0	2	1	1556	588	0	0	5	2	4	1	3	0	3	2	0	0	0	0	0	0	0	0	0	0	4	0	3	1	4	4	0	0	0	0	0	0	0	2	1	0	1358	198	386	202	0	0	0	0	3	2	0	2	2	2	1	0	3	0	0	0	3	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Azonexus fungiphilus	0	0	3	5	1	1	0	0	5	0	872	359	2	0	5	0	3	2	0	0	1	1	0	0	0	0	3	1	0	0	0	0	2	1	2	3	0	1	0	1	0	0	0	0	2	3	0	0	739	133	240	119	2	0	0	0	3	2	0	0	2	1	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	2	0	1
Azonexus hortensis	2	1	2	1	3	1	13	5	11	11	3358	1331	0	0	2	1	87	52	0	0	2	1	0	1	2	0	13	4	1	1	1	0	2	0	1	0	2	1	0	1	13	0	5	0	9	2	9	2	3039	319	1000	331	0	0	0	0	0	2	1	0	77	10	33	19	0	0	0	0	1	1	1	0	0	0	0	1	2	0	0	0	9	4	2	2
Azonexus hydrophilus A	0	0	4	2	5	1	4	1	1	2	951	338	9	1	0	0	1	0	1	0	2	0	1	0	2	0	0	1	0	0	0	0	4	0	1	1	2	3	1	0	0	4	1	0	0	1	1	1	816	135	225	113	7	2	0	1	0	0	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0
Azonexus sp002345845	0	0	5	2	10	3	3	0	3	1	2245	805	11	0	2	0	0	2	1	0	1	0	0	0	2	1	3	1	0	0	0	0	4	1	2	0	6	4	1	2	3	0	0	0	1	2	0	1	2012	233	555	250	11	0	0	0	1	1	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	2	1	0	1
Azonexus sp002425245	0	0	3	2	2	3	0	1	4	0	1084	430	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	1	2	1	1	1	1	0	3	0	0	1	0	2	2	0	0	911	173	304	126	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0
Azonexus sp002440665	0	0	6	0	4	1	3	0	3	3	1602	527	0	0	4	0	2	1	0	0	1	1	4	0	0	0	1	2	0	0	0	0	5	1	0	0	3	1	1	0	0	3	0	0	3	0	1	2	1411	191	380	147	0	0	0	0	2	2	0	0	1	1	0	1	0	0	0	0	1	0	1	0	0	4	0	0	0	0	0	0	0	1	1	1
Azonexus sp002470165	0	0	4	3	1	0	0	0	1	1	5463	1985	0	0	0	0	1	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	3	1	3	0	1	0	0	0	0	0	0	0	1	0	0	1	4793	670	1328	657	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
Azonexus sp002840765	3	0	2	2	3	4	0	0	1	0	1956	731	0	0	4	2	4	0	1	0	3	1	0	0	4	0	0	0	2	1	0	0	2	0	0	2	2	1	2	2	0	0	0	0	1	0	0	0	1694	262	506	225	0	0	0	0	1	3	2	0	0	4	0	0	1	0	0	0	3	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0
Azonexus sp002842145	0	0	0	3	4	2	0	0	2	4	3220	1155	0	0	5	0	1	2	0	0	0	1	0	0	0	0	7	1	0	0	0	0	0	0	3	0	2	2	0	2	0	0	0	0	2	0	3	1	2810	410	758	397	0	0	0	0	1	4	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	4	1	0
Azonexus sp003441615	0	0	0	6	4	2	3	1	0	2	1083	453	1	0	2	2	3	1	1	0	2	1	0	0	1	0	2	0	0	0	0	0	0	0	2	4	4	0	2	0	3	0	1	0	0	0	1	1	923	160	316	137	0	1	0	0	0	2	1	1	1	2	1	0	1	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	2	0	0
