Species	BAN001.A0101.SG1.1_10M	BAN001.A0102.SG1.4_10M	CDM019.A0101.SG1.1_10M	CDM019.A0102.SG1.4_10M	CDM020.A0101.SG1.1_10M	CDM020.A0102.SG1.4_10M	FUM001.A0101.SG1.1_10M	FUM001.A0102.SG1.4_10M	FUM002.A0101.SG1.1_10M	FUM002.A0102.SG1.5_10M	FUM003.A0101.SG1.1_10M	FUM003.A0102.SG1.4_10M	GDN001.A0101.SG1.1_10M	GDN001.A0102.SG1.3_10M	GOY005.A0101.SG1.2_10M	GOY005.A0103.SG1.4_10M	GOY006.A0101.SG1.2_10M	GOY006.A0102.SG1.5_10M	GUE001.A0101.SG1.1_10M	GUE001.A0102.SG1.4_10M	PES001.B0101.SG1.3_10M	PES001.B0102.SG1.5_10M	SPM002.A0101.SG1.1_10M	SPM002.A0103.SG1.4_10M	VLD001.A0101.SG1.1_10M	VLD001.A0102.SG1.2_10M	ZAF001.A0101.SG1.1_10M	ZAF001.A0103.SG1.4_10M	BAN001.A0101.SG1.1_10M_over50bp	BAN001.A0101.SG1.1_10M_under50bp	BAN001.A0102.SG1.4_10M_over50bp	BAN001.A0102.SG1.4_10M_under50bp	CDM019.A0101.SG1.1_10M_over50bp	CDM019.A0101.SG1.1_10M_under50bp	CDM019.A0102.SG1.4_10M_over50bp	CDM019.A0102.SG1.4_10M_under50bp	CDM020.A0101.SG1.1_10M_over50bp	CDM020.A0101.SG1.1_10M_under50bp	CDM020.A0102.SG1.4_10M_over50bp	CDM020.A0102.SG1.4_10M_under50bp	FUM001.A0101.SG1.1_10M_over50bp	FUM001.A0101.SG1.1_10M_under50bp	FUM001.A0102.SG1.4_10M_over50bp	FUM001.A0102.SG1.4_10M_under50bp	FUM002.A0101.SG1.1_10M_over50bp	FUM002.A0101.SG1.1_10M_under50bp	FUM002.A0102.SG1.5_10M_over50bp	FUM002.A0102.SG1.5_10M_under50bp	FUM003.A0101.SG1.1_10M_over50bp	FUM003.A0101.SG1.1_10M_under50bp	FUM003.A0102.SG1.4_10M_over50bp	FUM003.A0102.SG1.4_10M_under50bp	GDN001.A0101.SG1.1_10M_over50bp	GDN001.A0101.SG1.1_10M_under50bp	GDN001.A0102.SG1.3_10M_over50bp	GDN001.A0102.SG1.3_10M_under50bp	GOY005.A0101.SG1.2_10M_over50bp	GOY005.A0101.SG1.2_10M_under50bp	GOY005.A0103.SG1.4_10M_over50bp	GOY005.A0103.SG1.4_10M_under50bp	GOY006.A0101.SG1.2_10M_over50bp	GOY006.A0101.SG1.2_10M_under50bp	GOY006.A0102.SG1.5_10M_over50bp	GOY006.A0102.SG1.5_10M_under50bp	GUE001.A0101.SG1.1_10M_over50bp	GUE001.A0101.SG1.1_10M_under50bp	GUE001.A0102.SG1.4_10M_over50bp	GUE001.A0102.SG1.4_10M_under50bp	PES001.B0101.SG1.3_10M_over50bp	PES001.B0101.SG1.3_10M_under50bp	PES001.B0102.SG1.5_10M_over50bp	PES001.B0102.SG1.5_10M_under50bp	SPM002.A0101.SG1.1_10M_over50bp	SPM002.A0101.SG1.1_10M_under50bp	SPM002.A0103.SG1.4_10M_over50bp	SPM002.A0103.SG1.4_10M_under50bp	VLD001.A0101.SG1.1_10M_over50bp	VLD001.A0101.SG1.1_10M_under50bp	VLD001.A0102.SG1.2_10M_over50bp	VLD001.A0102.SG1.2_10M_under50bp	ZAF001.A0101.SG1.1_10M_over50bp	ZAF001.A0101.SG1.1_10M_under50bp	ZAF001.A0103.SG1.4_10M_over50bp	ZAF001.A0103.SG1.4_10M_under50bp
Actinomyces viscosus	0	1	445	161	1079	475	3039	234	12832	4318	1990	434	1155	101	2773	541	2403	695	1	0	6017	1964	14	0	1138	204	49	9	0	0	0	1	353	92	113	48	819	260	311	164	1939	1100	122	112	8580	4252	2317	2001	1257	733	194	240	892	263	56	45	1511	1262	202	339	1486	917	334	361	1	0	0	0	5133	884	1307	657	14	0	0	0	799	339	94	110	27	22	3	6
Actinomyces weissii	1	0	190	90	308	133	109	11	486	152	138	46	1959	213	195	34	325	127	0	0	817	291	0	0	224	50	3	2	0	1	0	0	153	37	56	34	243	65	77	56	42	67	9	2	324	162	88	64	91	47	20	26	1570	389	130	83	90	105	14	20	208	117	61	66	0	0	0	0	688	129	189	102	0	0	0	0	131	93	21	29	0	3	1	1
Actinomyces wuliandei	0	0	78	43	142	70	147	12	1666	617	72	17	1037	98	116	23	240	87	0	0	501	212	3	0	171	40	8	1	0	0	0	0	61	17	20	23	107	35	50	20	94	53	9	3	1105	561	346	271	42	30	8	9	844	193	56	42	65	51	8	15	161	79	35	52	0	0	0	0	426	75	139	73	3	0	0	0	107	64	16	24	8	0	0	1
Aerococcus sp002252085	1	3	0	1	0	1	6	0	0	1	0	0	0	0	5	2	901	665	0	0	0	1	0	0	0	0	13	4	0	1	2	1	0	0	1	0	0	0	1	0	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	2	0	825	76	490	175	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	13	0	3	1
Aerococcus urinaeequi	42	30	0	0	0	0	8	0	1	1	0	2	1	3	69	8	1489	974	0	0	29	15	0	0	2	2	16	5	34	8	15	15	0	0	0	0	0	0	0	0	8	0	0	0	1	0	1	0	0	0	1	1	1	0	2	1	66	3	5	3	1396	93	793	181	0	0	0	0	29	0	13	2	0	0	0	0	2	0	0	2	10	6	4	1
Aerococcus viridans	18	17	0	0	0	0	5	1	1	0	14	8	0	0	11	1	1731	1243	2	0	26	22	4	0	1	1	13	6	16	2	6	11	0	0	0	0	0	0	0	0	3	2	0	1	0	1	0	0	12	2	7	1	0	0	0	0	9	2	1	0	1587	144	966	277	2	0	0	0	26	0	19	3	4	0	0	0	1	0	1	0	12	1	4	2
Aeromonas caviae	11	5	1	1	1	1	235	7	9	2	84	16	10	2	2240	258	14	1	31	1	40	13	57	4	14	8	192	31	5	6	3	2	1	0	1	0	1	0	1	0	209	26	6	1	8	1	2	0	69	15	7	9	10	0	1	1	2010	230	187	71	14	0	1	0	26	5	1	0	38	2	11	2	48	9	3	1	9	5	4	4	150	42	11	20
Afipia broomeae	8	2	1	0	0	2	59	6	3	1	10092	2320	16	4	3	0	1	0	26	0	10	13	31	12	6	1	38	9	6	2	1	1	1	0	0	0	0	0	1	1	54	5	4	2	2	1	0	1	9249	843	1602	718	8	8	0	4	3	0	0	0	1	0	0	0	12	14	0	0	8	2	6	7	13	18	3	9	1	5	0	1	14	24	3	6
Aggregatibacter aphrophilus	0	0	34	47	592	684	43	7	155	182	1257	619	0	1	13690	7203	1081	916	0	0	568	583	0	0	3	1	25	4	0	0	0	0	26	8	27	20	474	118	497	187	17	26	4	3	65	90	69	113	675	582	245	374	0	0	0	1	8071	5619	3235	3968	650	431	417	499	0	0	0	0	380	188	310	273	0	0	0	0	1	2	0	1	24	1	2	2
Aggregatibacter kilianii	0	0	41	37	1788	2014	71	7	252	270	2620	1438	0	0	25841	13323	1158	1008	0	0	574	563	1	2	0	2	31	3	0	0	0	0	35	6	29	8	1372	416	1453	561	30	41	5	2	120	132	123	147	1300	1320	545	893	0	0	0	0	15403	10438	5943	7380	686	472	480	528	0	0	0	0	374	200	311	252	1	0	1	1	0	0	1	1	20	11	2	1
Aggregatibacter segnis	0	0	32	44	570	641	8	2	53	51	130	62	0	0	1702	836	250	201	2	0	71	79	0	0	0	1	6	1	0	0	0	0	27	5	34	10	431	139	470	171	5	3	2	0	22	31	28	23	65	65	26	36	0	0	0	0	975	727	394	442	147	103	94	107	2	0	0	0	37	34	41	38	0	0	0	0	0	0	0	1	3	3	1	0
Aggregatibacter segnis A	0	1	41	40	516	558	8	6	60	68	148	92	0	0	1976	893	293	255	4	0	98	103	1	0	2	0	4	5	0	0	0	1	31	10	26	14	395	121	401	157	3	5	1	5	24	36	33	35	74	74	39	53	0	0	0	0	1186	790	393	500	201	92	122	133	4	0	0	0	61	37	59	44	0	1	0	0	1	1	0	0	3	1	2	3
Aggregatibacter sp000466335	0	0	19	29	372	318	9	3	27	28	142	66	2	0	1255	613	165	124	4	0	71	66	0	2	5	0	12	1	0	0	0	0	18	1	15	14	286	86	232	86	9	0	3	0	13	14	10	18	75	67	26	40	2	0	0	0	698	557	281	332	106	59	56	68	4	0	0	0	48	23	51	15	0	0	2	0	4	1	0	0	7	5	1	0
Agrobacterium sp900013535	14	5	2	0	1	1	19	1	1	0	3	1	8	0	4	1	3	1	12	0	0	0	6	1	3799	731	13	1	10	4	2	3	2	0	0	0	0	1	1	0	9	10	0	1	0	1	0	0	2	1	1	0	8	0	0	0	3	1	1	0	3	0	0	1	9	3	0	0	0	0	0	0	4	2	1	0	2720	1079	320	411	6	7	0	1
Aliidongia dinghuensis	2	1	4	1	2	2	22	6	5	1	6	3	6	0	4	0	2262	1703	19	1	0	0	1	1	0	1	90	23	2	0	1	0	4	0	1	0	1	1	1	1	15	7	4	2	2	3	1	0	5	1	0	3	0	6	0	0	4	0	0	0	1919	343	1314	389	8	11	0	1	0	0	0	0	1	0	0	1	0	0	1	0	49	41	15	8
Alishewanella agri	7	5	0	0	0	2	8	0	0	0	0	0	11	0	648	96	6	2	4	0	315	144	11	9	13	3	136	14	6	1	3	2	0	0	0	0	0	0	1	1	6	2	0	0	0	0	0	0	0	0	0	0	11	0	0	0	586	62	77	19	5	1	1	1	4	0	0	0	304	11	116	28	10	1	5	4	12	1	1	2	82	54	4	10
Anaerococcus nagyae	13	1	0	0	0	1	315	134	6	15	74	68	4	7	40	13	20	36	32	7	3	6	88	21	50	22	131	80	8	5	1	0	0	0	0	0	0	0	1	0	296	19	108	26	6	0	14	1	68	6	53	15	0	4	6	1	38	2	10	3	18	2	26	10	30	2	7	0	3	0	5	1	81	7	19	2	42	8	15	7	117	14	60	20
Anaerococcus octavius	3	3	0	1	1	5	218	77	3	4	85	67	7	3	27	10	33	30	32	4	2	4	243	51	34	20	198	125	3	0	1	2	0	0	1	0	1	0	3	2	211	7	57	20	3	0	3	1	74	11	51	16	7	0	1	2	26	1	8	2	30	3	20	10	32	0	3	1	2	0	3	1	241	2	31	20	30	4	12	8	167	31	75	50
Anaerococcus urinomassiliensis	0	0	5	23	7	20	46	11	59	108	11	6	5	11	10	11	20	26	4	1	10	10	16	0	10	4	9781	2833	0	0	0	0	4	1	16	7	4	3	16	4	38	8	9	2	42	17	76	32	10	1	2	4	4	1	6	5	4	6	7	4	18	2	15	11	4	0	1	0	9	1	5	5	16	0	0	0	2	8	3	1	7466	2315	1619	1214
Anaerosphaera mikwangii	0	0	295	584	94	221	11	7	119	204	9	3	37	39	35	30	81	82	0	0	143	297	0	0	26	30	0	1	0	0	0	0	266	29	487	97	77	17	175	46	9	2	1	6	83	36	129	75	7	2	1	2	24	13	18	21	28	7	16	14	64	17	42	40	0	0	0	0	132	11	216	81	0	0	0	0	20	6	15	15	0	0	0	1
Aquabacterium commune	40	8	3	2	1	0	5	1	3	1	2566	649	5	3	8	4	8	2	0	0	5	2	0	0	42	24	1	0	22	18	6	2	2	1	1	1	1	0	0	0	5	0	0	1	2	1	0	1	2393	173	497	152	5	0	2	1	3	5	2	2	4	4	1	1	0	0	0	0	2	3	0	2	0	0	0	0	35	7	7	17	1	0	0	0
Arachnia propionica	0	1	80230	28816	102072	42041	9476	904	6246	2902	1141	352	8741	1122	9993	2594	10919	3339	2	0	70601	22507	4	1	1019	283	56	11	0	0	1	0	69182	11048	20662	8154	84993	17079	29341	12700	5006	4470	406	498	3706	2540	1405	1497	646	495	143	209	6994	1747	631	491	4720	5273	934	1660	6819	4100	1614	1725	2	0	0	0	61021	9580	15428	7079	4	0	0	1	509	510	90	193	23	33	2	9
Arachnia propionica B	0	0	54	15	401	180	15	4	77	30	9	5	58	12	103	26	120	34	1	0	442	141	1	0	21	1	1	0	0	0	0	0	39	15	8	7	333	68	117	63	13	2	1	3	47	30	13	17	6	3	0	5	46	12	5	7	52	51	8	18	72	48	19	15	0	1	0	0	359	83	95	46	1	0	0	0	14	7	0	1	0	1	0	0
Arachnia propionica C	0	0	83	33	301	156	23	2	83	41	22	7	28	5	110	25	83	47	0	0	398	167	3	0	13	2	0	1	0	0	0	0	63	20	24	9	249	52	84	72	11	12	1	1	50	33	15	26	13	9	4	3	16	12	3	2	56	54	9	16	52	31	24	23	0	0	0	0	318	80	92	75	3	0	0	0	8	5	0	2	0	0	1	0
Arachnia rubra	3	1	1218	496	2883	1385	235	19	378	190	88	23	237	42	561	176	493	177	15	1	2713	968	34	1	56	13	163	21	0	3	1	0	1023	195	342	154	2318	565	930	455	132	103	12	7	222	156	92	98	50	38	10	13	174	63	17	25	271	290	59	117	303	190	82	95	15	0	1	0	2244	469	651	317	24	10	1	0	41	15	4	9	112	51	9	12
