Species	BAN001.A0101.SG1.1_10M	BAN001.A0102.SG1.4_10M	CDM019.A0101.SG1.1_10M	CDM019.A0102.SG1.4_10M	CDM020.A0101.SG1.1_10M	CDM020.A0102.SG1.4_10M	FUM001.A0101.SG1.1_10M	FUM001.A0102.SG1.4_10M	FUM002.A0101.SG1.1_10M	FUM002.A0102.SG1.5_10M	FUM003.A0101.SG1.1_10M	FUM003.A0102.SG1.4_10M	GDN001.A0101.SG1.1_10M	GDN001.A0102.SG1.3_10M	GOY005.A0101.SG1.2_10M	GOY005.A0103.SG1.4_10M	GOY006.A0101.SG1.2_10M	GOY006.A0102.SG1.5_10M	GUE001.A0101.SG1.1_10M	GUE001.A0102.SG1.4_10M	PES001.B0101.SG1.3_10M	PES001.B0102.SG1.5_10M	SPM002.A0101.SG1.1_10M	SPM002.A0103.SG1.4_10M	VLD001.A0101.SG1.1_10M	VLD001.A0102.SG1.2_10M	ZAF001.A0101.SG1.1_10M	ZAF001.A0103.SG1.4_10M
0-14-0-80-59-12 sp002779395	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	1	3	0	0	0	0	0	2	0	0	0
0-14-0-80-60-11 sp002779455	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0
0-14-0-80-60-11 sp016875015	0	0	1	1	1	1	2	0	1	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	2	0
0-14-0-80-60-11 sp018897875	0	0	4	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0-14-3-00-41-53 sp002780895	0	0	1	1	1	1	0	0	0	1	1	0	0	4	1	0	1	0	0	0	0	0	0	0	0	0	1	0
0-14-3-00-62-12 sp002785585	0	0	2	1	2	0	0	0	1	0	0	0	3	0	0	2	2	0	0	0	0	0	0	0	1	1	0	0
01-FULL-36-10b sp001785725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01-FULL-36-15b sp001782035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01-FULL-36-15b sp001782045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01-FULL-38-12b sp001820175	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
01-FULL-38-12b sp001820255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	2	0	1
01-FULL-39-12b sp001780955	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01-FULL-43-11b sp001780985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01-FULL-43-15b sp001816385	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
01-FULL-44-24b sp001793235	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
01-FULL-45-10b sp001804205	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
01-FULL-45-10b sp016177155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
01-FULL-45-10b sp016206815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
01-FULL-45-10b sp016206945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
01-FULL-45-10b sp016206955	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	2	0	0
01-FULL-45-15b sp001822655	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01-FULL-45-25b sp001781035	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01-FULL-45-34b sp001822675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
01-FULL-48-32b sp001773725	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01-FULL-49-22b sp001823165	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	1	0	0	0
01-FULL-54-110 sp001789045	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
02-FULL-45-10c sp001818705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
02-FULL-45-11b sp001817615	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
02-FULL-45-17b sp001819815	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
02-FULL-45-17b sp005239605	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	21	17	0	0
1-14-0-10-31-34 sp002763225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1-14-0-10-31-34 sp018829335	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
1-14-0-10-32-24 sp002763025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
1-14-0-10-32-24 sp013204355	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1-14-0-10-32-24 sp018655525	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1-14-0-10-34-10 sp002773945	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
1-14-0-10-34-76 sp002763075	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
1-14-0-10-36-11 sp002778535	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	1	1	0	0
1-14-0-10-36-16 sp002794035	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
1-14-0-10-36-19 sp002772535	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
1-14-0-10-36-32 sp002778465	0	0	0	1	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	2	0	0
1-14-0-10-37-12 sp002762795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1-14-0-10-37-14 sp002778705	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0
1-14-0-10-40-38 sp002773535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	9	2	0	0
1-14-0-10-41-10 sp002773695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
1-14-0-10-41-12 sp002778735	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1-14-0-10-41-28 sp002773755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1-14-0-10-42-12 sp002787695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0
1-14-0-10-42-19 sp002774705	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1-14-0-10-42-22 sp002773725	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
1-14-0-10-42-22 sp018826645	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1-14-0-10-43-10 sp002773655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	6	0	0	0
1-14-0-10-43-11 sp002778635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1-14-0-10-43-13 sp002773985	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0
1-14-0-10-43-42 sp002793915	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
1-14-0-10-44-13 sp002762985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1-14-0-10-44-23 sp002773475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1-14-0-10-45-20 sp002773335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1-14-0-10-45-20 sp004296925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
1-14-0-10-45-20 sp004322365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1-14-0-10-45-20 sp007378985	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1-14-0-10-45-20 sp018970425	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0
1-14-0-10-45-20 sp019246385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1-14-0-10-45-29 sp002778455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
1-14-0-10-45-34 sp002778785	0	0	3	1	0	0	0	0	0	0	0	0	0	1	1	0	2	0	3	0	0	0	0	0	1	0	0	0
1-14-0-10-46-23 sp002771135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1-14-0-10-46-36 sp002772995	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
1-14-0-10-46-36 sp016204155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1-14-0-10-47-10 sp002773135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
1-14-0-10-47-16 sp002773395	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1-14-0-10-48-11 sp002793855	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0
1-14-0-10-49-15 sp002773415	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1-14-0-10-49-17 sp002778575	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1-14-0-10-51-16 sp002774795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1-14-0-10-55-24 sp002772745	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1-14-0-10-56-10 sp002772645	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1-14-0-20-35-14 sp002796205	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	4	0	2	1	0	0	19	4	0	0
1-14-0-20-39-34 sp002787355	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1-14-0-20-39-49 sp002787635	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0
1-14-0-20-42-13 sp002796125	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	1	0	0
1-14-0-20-42-23 sp002796345	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1-14-0-20-45-16 sp002787535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
1-14-0-20-45-26 sp002787155	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
1-14-0-20-46-22 sp002796245	0	0	2	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	6	0	1	0	0	0	0	0	0	0
1-14-0-20-47-16 sp002796325	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
1-14-0-20-49-13 sp002796305	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0
1-14-0-20-64-10 sp002787095	4	0	1	2	2	1	0	0	2	0	0	0	1	2	0	0	0	0	7	0	1	0	0	0	1	1	2	0
1-14-0-65-60-17 sp002787815	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	6	0	0	0	0	0	0	1	3	0
1-14-2-50-31-20 sp002786785	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0
1-14-2-50-31-20 sp018818165	0	0	2	0	2	0	2	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0
1-14-2-50-48-13 sp002783265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1-19 sp001922585	2	1	3	0	1	0	0	1	1	0	6	4	0	0	5	0	1	0	2	0	0	3	0	0	1	0	0	0
1-19 sp002837195	0	1	0	0	1	0	0	0	0	0	1	2	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0
1109 sp001028815	0	0	1	3	2	2	0	0	2	0	1	0	0	0	0	1	2	1	1	0	2	2	0	0	0	0	0	1
1109 sp012521465	0	0	2	1	1	0	12	0	4	0	0	0	4	0	1	1	2	2	0	0	1	0	0	0	0	0	0	0
1162T-S-0a-05 sp000964245	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0
12-FULL-43-12b sp001823875	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12-FULL-44-12b sp001823695	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
12-FULL-45-19b sp001794605	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
12-FULL-67-14b sp009694735	0	0	0	1	3	1	2	0	1	2	5	0	33	2	0	0	8	3	64	3	10	0	0	0	2	0	22	2
12844 sp017443895	0	0	0	1	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0
12844 sp902783115	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
13-1-40CM-64-14 sp001917855	0	0	3	0	0	0	0	0	1	0	7	1	1	0	0	0	0	0	8	0	1	1	0	0	0	0	1	0
13-1-40CM-70-15 sp003223415	0	0	1	0	3	0	2	0	3	3	10	2	5	0	1	0	2	0	66	6	5	1	0	0	0	0	7	0
13-2-20CM-66-19 sp001914695	0	0	2	1	0	0	6	0	0	1	7	6	2	0	1	1	5	0	8	0	4	1	0	0	3	0	10	0
13-2-20CM-66-19 sp003136935	1	0	0	0	1	0	10	0	1	0	6	1	8	1	0	1	3	1	0	0	1	0	0	0	1	1	4	1
13-2-20CM-66-19 sp003156695	0	0	1	0	0	0	4	0	0	0	0	1	1	0	0	0	2	0	3	1	2	1	1	0	0	0	11	2
13-2-20CM-66-19 sp005877705	0	0	1	0	2	3	0	0	1	0	1	0	2	1	2	0	4	1	18	0	1	3	0	0	1	0	8	1
13-2-20CM-66-19 sp005877965	2	0	1	0	1	0	0	0	0	1	0	1	0	2	0	0	2	0	15	0	0	0	0	0	0	0	5	2
13-2-20CM-66-19 sp005878095	0	0	1	1	2	2	0	0	1	0	2	0	1	2	1	0	1	0	7	0	0	2	0	0	0	0	5	0
13-2-20CM-66-19 sp005878835	0	0	0	0	0	0	10	0	0	1	2	3	1	0	1	0	1	0	7	0	2	0	0	0	0	0	13	0
13-2-20CM-66-19 sp018240525	0	0	9	0	2	0	1	0	0	1	1	0	0	0	2	1	2	1	7	0	3	3	0	0	1	1	10	1
13-2-20CM-66-19 sp018241425	0	0	3	1	1	0	1	0	1	0	2	2	24	1	1	0	6	0	8	0	1	2	0	0	4	0	6	1
13-2-20CM-66-19 sp018241445	0	0	2	0	0	1	4	0	2	1	6	2	0	1	2	0	2	0	1	0	0	1	0	0	0	1	10	0
13-2-20CM-66-19 sp018241505	7	1	1	0	2	2	5	1	3	0	5	2	11	2	0	1	1	1	6	1	2	3	14	2	1	1	15	1
13-2-20CM-66-19 sp019242385	0	0	2	0	0	0	0	0	1	0	2	2	2	0	0	0	1	0	4	0	1	0	1	0	0	0	3	0
13-2-20CM-66-19 sp019247195	0	0	2	4	1	1	4	1	0	0	9	2	1	0	0	0	3	1	11	0	2	0	0	0	2	0	9	2
13-2-20CM-68-14 sp001914705	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	16	2	3	0	0	0	0	0	9	1
13-2-20CM-68-14 sp005883955	0	0	2	0	0	0	10	1	2	0	4	2	15	0	0	0	3	0	22	0	4	1	0	0	0	0	5	1
13-2-20CM-68-14 sp005884005	0	1	0	0	0	2	14	0	1	0	1	2	9	0	3	0	4	1	52	0	3	0	0	1	0	1	7	1
13-2-20CM-68-14 sp005888315	0	0	2	1	2	0	3	0	1	2	6	1	5	1	0	0	2	1	29	1	2	0	0	0	3	0	11	2
14-2 sp000403255	0	0	0	4	0	1	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
14-2 sp000403315	0	0	2	2	1	2	5	0	0	1	0	1	0	0	0	1	1	2	0	0	0	0	0	0	4	0	0	0
14-2 sp000403845	0	0	2	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
14-2 sp001940225	0	0	2	6	1	1	0	0	0	1	0	0	0	1	0	0	4	0	0	0	0	1	0	0	0	0	0	0
14-2 sp004793545	0	0	1	1	1	1	0	0	3	1	0	0	0	0	1	1	2	1	0	0	1	2	0	0	1	0	0	0
14-2 sp009774455	0	0	1	3	0	0	1	0	0	0	1	0	0	0	0	1	1	1	0	0	0	2	0	0	0	0	0	0
14-2 sp009911185	0	0	0	3	1	2	0	0	1	0	0	0	0	0	1	1	2	1	0	0	0	0	0	0	0	0	0	0
14-2 sp011960065	0	0	4	6	1	2	1	0	1	0	2	0	0	0	2	1	0	1	0	0	0	3	0	0	0	0	0	0
14-2 sp012519695	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	1
14-2 sp910575005	0	0	6	2	3	1	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0
14-2 sp910575035	0	0	1	2	1	0	0	0	2	2	0	1	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
14-2 sp910575075	0	0	0	2	5	0	0	0	3	1	0	0	0	1	2	0	1	3	0	0	0	0	0	0	0	0	0	0
14-2 sp910575155	0	0	0	5	2	3	0	0	2	3	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0
14-2 sp910576385	0	0	1	2	0	2	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	1	0	0	1	0	0	0
14-2 sp910576975	0	0	2	3	1	2	0	0	1	0	0	0	5	1	0	0	3	0	0	0	2	0	0	0	0	0	0	0
14-2 sp910577785	0	0	1	1	0	0	6	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0
14-2 sp910578825	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	3	0	0	0	0	0	0	0
14-2 sp910580015	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
14-2 sp910580195	0	0	0	1	1	1	6	0	5	1	0	0	0	1	2	0	2	1	0	0	1	1	0	0	0	0	0	0
14-2 sp910583835	0	0	2	2	0	1	7	0	2	1	0	0	0	0	1	0	2	2	0	0	0	1	0	0	0	0	2	0
14-2 sp910584585	0	0	2	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0
14-2 sp910585395	2	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0
14-2 sp910585625	0	0	2	1	0	3	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
14-2 sp910585895	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
14-2 sp910586005	0	0	0	1	1	3	0	0	0	1	0	0	0	1	0	2	1	0	0	1	0	0	0	0	0	0	0	0
14-2 sp910587895	0	0	0	0	0	0	0	0	0	1	0	0	5	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
14-2 sp910588285	0	0	1	2	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
14-2 sp910588845	0	0	2	1	1	0	0	0	0	0	0	0	4	0	0	0	1	2	0	0	2	0	0	0	2	0	0	0
14-2 sp910588885	0	0	1	6	2	2	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0
14-2 sp910588965	0	0	0	1	1	0	1	0	3	3	0	0	0	1	1	0	1	0	0	0	1	1	0	0	0	0	0	0
14-2 sp910589635	0	0	0	1	2	0	0	0	0	0	0	0	3	0	0	1	2	1	41	0	1	1	0	0	0	0	0	0
143-21 sp019203185	0	0	2	4	1	0	0	0	1	0	0	0	4	4	0	0	0	2	0	0	0	1	0	0	0	0	0	0
16-39-46 sp002257235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16-39-46 sp018242545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17J80-11 sp010975005	0	0	0	1	2	0	6	0	3	0	1	0	1	0	1	1	0	1	25	2	1	0	0	0	1	0	0	0
17J80-11 sp014349105	0	0	7	1	2	1	0	1	0	0	2	1	6	3	1	0	1	1	9	0	1	0	0	0	0	0	1	1
17J80-11 sp018241995	1	1	4	0	5	1	4	0	4	0	2	1	0	0	2	0	1	0	0	0	1	1	0	0	2	0	1	0
18H4-34 sp019057815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18JY21-1 sp004344915	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1
1XD42-69 sp009911505	0	0	1	2	0	3	0	0	0	1	0	0	0	0	2	1	1	2	0	0	0	0	0	0	0	0	0	0
1XD42-69 sp011959925	0	0	2	1	1	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0
1XD42-69 sp014287635	0	0	0	3	1	1	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	1	0	0	0	0	0	1
1XD42-69 sp017624495	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
1XD42-69 sp017625255	0	0	0	1	0	0	0	0	2	0	2	0	0	0	1	1	3	2	0	0	1	0	0	0	1	1	0	0
1XD42-69 sp910577065	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	2	3	0	0
1XD42-69 sp910585825	0	0	1	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
1XD42-69 sp910586355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
1XD42-69 sp910586645	0	0	2	4	1	1	0	0	3	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
1XD42-69 sp910586725	0	0	1	0	1	0	0	0	1	1	0	0	0	1	0	2	1	1	2	0	2	2	0	0	2	0	0	0
1XD42-69 sp910588565	0	0	1	1	0	1	3	0	1	0	0	0	0	1	0	1	2	1	0	0	3	0	0	0	0	0	1	0
