gc_bin,counts_gc,Study
"(27,28]",20021,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(28,29]",23676,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(29,30]",5,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(30,31]",27894,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(31,32]",33178,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(32,33]",40245,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(33,34]",15,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(34,35]",48702,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(35,36]",58946,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(36,37]",73321,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(37,38]",24,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(38,39]",90917,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(39,40]",114156,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(40,41]",143009,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(41,42]",59,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(42,43]",178587,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(43,44]",224297,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(44,45]",285438,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(45,46]",110,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(46,47]",412027,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(47,48]",482105,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(48,49]",570976,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(49,50]",800123,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(50,51]",350,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(51,52]",1207430,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(52,53]",1672683,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(53,54]",1465365,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(54,55]",404,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(55,56]",877757,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(56,57]",480947,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(57,58]",267463,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(58,59]",54,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(59,60]",146726,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(60,61]",77323,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(61,62]",41025,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(62,63]",18,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(63,64]",21752,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(64,65]",11687,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(65,66]",6364,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(66,67]",4,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(67,68]",3459,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(68,69]",2025,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
