#Classification	Sample #1	Sample #2	Sample #3	Sample #4	Sample #5	Sample #6	Sample #7	Sample #8	Sample #9	Sample #10	Sample #11	Sample #12	Sample #13	Sample #14	Sample #15	Sample #16	Sample #17	Sample #18	Sample #19	Sample #20	Sample #21	Sample #22	Sample #23	Sample #24	Sample #25	Sample #26	Sample #27	Sample #28
d__Bacteria|p__BMS3Abin14|g__BMS3ABIN14|s__BMS3ABIN14 sp013151915	0	0	1	0	0	0	0	0	0	0	2	0	0	0	2	1	1	0	0	0	1	0	0	0	0	0	0	0
d__Bacteria|p__BMS3Abin14|g__SZUA-178	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__BMS3Abin14|g__SZUA-178|s__SZUA-178 sp003229755	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__BMS3Abin14|g__SZUA-204	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
d__Bacteria|p__BMS3Abin14|g__SZUA-204|s__SZUA-204 sp003228585	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
d__Bacteria|p__JACPSX01	0	0	0	1	0	1	0	0	0	0	1	1	0	1	0	0	0	0	11	0	1	1	0	0	0	1	2	0
d__Bacteria|p__JACPSX01|s__JACPSX01 sp016193065	0	0	0	1	0	1	0	0	0	0	1	1	0	1	0	0	0	0	11	0	1	1	0	0	0	1	2	0
d__Bacteria|p__JAGOBX01	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0
d__Bacteria|p__JAGOBX01|s__JAGOBX01 sp017999075	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0
d__Bacteria|p__UBP14	0	0	9	9	3	2	3	0	5	2	0	0	6	0	5	3	1	1	4	0	1	3	0	0	5	2	3	0
d__Bacteria|p__UBP14|c__UBA6098	0	0	9	9	3	2	3	0	5	2	0	0	6	0	5	3	1	1	4	0	1	3	0	0	5	2	3	0
d__Bacteria|p__UBP14|c__UBA6098|o__JAFGQG01	0	0	0	0	1	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	3	0	0	0
d__Bacteria|p__UBP14|c__UBA6098|o__JAFGQG01|g__JAFGGQ01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
d__Bacteria|p__UBP14|c__UBA6098|o__JAFGQG01|g__JAFGGQ01|s__JAFGGQ01 sp016930435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
d__Bacteria|p__UBP14|c__UBA6098|o__JAFGQG01|s__JAFGQG01 sp016935765	0	0	0	0	1	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0
d__Bacteria|p__UBP14|c__UBA6098|g__QNEE01	0	0	2	5	1	0	0	0	3	2	0	0	2	0	3	2	1	1	0	0	1	2	0	0	2	1	3	0
d__Bacteria|p__UBP14|c__UBA6098|g__QNEE01|s__QNEE01 sp003645085	0	0	2	5	1	0	0	0	3	2	0	0	2	0	3	2	1	1	0	0	1	2	0	0	2	1	3	0
d__Bacteria|p__UBP14|c__UBA6098|o__4484-93	0	0	7	4	1	2	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__UBP14|c__UBA6098|o__4484-93|s__4484-93 sp002085385	0	0	7	4	1	2	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__UBP14|c__UBA6098|f__B30-G16	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
d__Bacteria|p__UBP14|c__UBA6098|f__B30-G16|s__B30-G16 sp003645115	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
d__Bacteria|p__UBP14|c__UBA6098|s__UBA6098 sp002428525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0
d__Bacteria|p__JACPWU01	0	0	1	0	0	3	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
d__Bacteria|p__JACPWU01|g__JACOUC01	0	0	0	0	0	2	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__JACPWU01|g__JACOUC01|s__JACOUC01 sp016178055	0	0	0	0	0	2	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__JACPWU01|s__JACPWU01 sp016196885	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
d__Bacteria|p__UBA1439	0	0	2	3	2	2	0	0	0	0	1	1	7	0	0	0	2	2	6	0	1	1	0	0	3	0	1	0
d__Bacteria|p__UBA1439|s__UBA1439 sp002329605	0	0	2	3	2	2	0	0	0	0	1	1	7	0	0	0	2	2	6	0	1	1	0	0	3	0	1	0
d__Bacteria|p__UBA6262	0	0	2	2	3	2	0	1	1	0	0	0	0	0	1	0	0	0	2	0	1	1	0	0	0	0	0	0
d__Bacteria|p__UBA6262|g__Fen-1174	0	0	1	1	2	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0
d__Bacteria|p__UBA6262|g__Fen-1174|s__Fen-1174 sp003153935	0	0	1	1	2	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0
d__Bacteria|p__UBA6262|s__UBA6262 sp016218565	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__UBA6262|s__UBA6262 sp002441095	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
d__Bacteria|p__UBP15	0	0	0	1	1	1	8	0	1	0	0	0	3	0	1	1	3	3	0	0	1	2	0	0	0	0	2	0
d__Bacteria|p__UBP15|c__UBA6099	0	0	0	1	1	1	8	0	1	0	0	0	3	0	1	1	3	3	0	0	1	2	0	0	0	0	2	0
d__Bacteria|p__UBP15|c__UBA6099|s__UBA6099 sp002435745	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
d__Bacteria|p__UBP15|c__UBA6099|s__UBA6099 sp002069885	0	0	0	1	0	1	8	0	0	0	0	0	3	0	1	1	3	3	0	0	0	2	0	0	0	0	0	0
d__Bacteria|p__JAFGBW01	0	0	3	4	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	1	0	0	0	0	0	0
d__Bacteria|p__JAFGBW01|o__JAFGJP01	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__JAFGBW01|o__JAFGJP01|s__JAFGJP01 sp016929035	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__JAFGBW01|s__JAFGBW01 sp016932965	0	0	3	3	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	1	0	0	0	0	0	0
d__Bacteria|p__NPL-UPA2	0	0	0	2	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	1	1	0	0	0	0	1	0	0
d__Bacteria|p__NPL-UPA2|f__JAADIA01	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
d__Bacteria|p__NPL-UPA2|f__JAADIA01|s__JAADIA01 sp013151555	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
