#Classification	Sample #1	Sample #2	Sample #3	Sample #4	Sample #5	Sample #6	Sample #7	Sample #8	Sample #9	Sample #10	Sample #11	Sample #12	Sample #13	Sample #14	Sample #15	Sample #16	Sample #17	Sample #18	Sample #19	Sample #20	Sample #21	Sample #22	Sample #23	Sample #24	Sample #25	Sample #26	Sample #27	Sample #28
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Rhodocyclaceae|g__Tepidiphilus|s__Tepidiphilus baoligensis	15	2	0	0	7	1	28	2	1	0	9	3	0	1	0	0	20	3	0	2	0	0	1	0	0	0	14	4
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Rhodocyclaceae|g__Tepidiphilus|s__Tepidiphilus succinatimandens	190	32	2	0	4	1	133	31	3	1	21	21	18	5	5	2	474	142	24	6	3	8	8	1	13	5	356	38
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae	5803	1979	16517	7262	379586	168227	36034	3144	11435	4910	2184335	619409	16321	2202	156133	26083	61161	20038	30778	1379	84443	30334	14885	1853	51686	10826	17784	4303
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__BK-30	0	0	5	2	19	8	2	0	9	3	9	7	1	1	34	3	17	6	0	0	6	1	0	0	27	6	2	2
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__BK-30|s__BK-30 sp002837145	0	0	5	2	19	8	2	0	9	3	9	7	1	1	34	3	17	6	0	0	6	1	0	0	27	6	2	2
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Brackiella	0	0	0	0	2	1	0	0	0	0	2	0	0	0	4	0	1	0	0	0	0	1	0	0	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Brackiella|s__Brackiella oedipodis	0	0	0	0	2	1	0	0	0	0	2	0	0	0	4	0	1	0	0	0	0	1	0	0	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Symbiobacter	0	0	2	3	7	5	0	1	2	3	85	25	0	0	16	10	6	3	0	0	0	1	0	0	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Symbiobacter|s__Symbiobacter mobilis	0	0	2	3	7	5	0	1	2	3	85	25	0	0	16	10	6	3	0	0	0	1	0	0	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__UBA5157	0	0	2	0	0	1	3	0	1	1	43	11	0	0	5	0	1	1	0	0	3	1	8	0	0	0	2	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__UBA5157|s__UBA5157 sp002415335	0	0	2	0	0	1	3	0	1	1	43	11	0	0	5	0	1	1	0	0	3	1	8	0	0	0	2	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__PHCI01	0	0	2	2	19	4	0	1	4	0	9	6	0	1	22	2	23	3	6	1	7	1	0	0	7	0	0	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__PHCI01|s__PHCI01 sp002842205	0	0	2	2	19	4	0	1	4	0	9	6	0	1	22	2	23	3	6	1	7	1	0	0	7	0	0	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Leptothrix	0	0	7	0	20	4	24	0	11	2	285	71	10	1	17	2	12	7	3	0	8	4	0	0	8	0	1	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Leptothrix|s__Leptothrix mobilis	0	0	4	0	10	2	8	0	5	1	23	11	5	1	8	1	6	3	2	0	3	2	0	0	5	0	0	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Leptothrix|s__Leptothrix cholodnii	0	0	3	0	10	2	16	0	6	1	262	60	5	0	9	1	6	4	1	0	5	2	0	0	3	0	1	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Basilea	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Basilea|s__Basilea psittacipulmonis	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__UBA2334	0	0	6	4	39	13	28	0	9	5	57	25	5	2	153	21	80	26	5	0	17	13	0	0	51	11	2	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__UBA2334|s__UBA2334 sp013823635	0	0	2	0	12	6	7	0	2	3	20	8	3	1	44	5	17	8	3	0	6	0	0	0	22	7	1	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__UBA2334|s__UBA2334 sp903928495	0	0	0	4	15	3	10	0	1	0	16	3	2	1	35	7	20	5	1	0	3	4	0	0	13	3	1	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__UBA2334|s__UBA2334 sp002344885	0	0	1	0	11	4	3	0	5	2	11	11	0	0	43	3	25	3	0	0	5	4	0	0	10	1	0	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__UBA2334|s__UBA2334 sp002479815	0	0	3	0	1	0	0	0	1	0	9	3	0	0	23	3	14	7	1	0	3	3	0	0	2	0	0	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__JADJBS01	0	0	4	4	12	9	1	0	1	7	17	8	1	2	40	9	26	6	7	0	5	7	0	0	5	4	0	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__JADJBS01|s__JADJBS01 sp016703665	0	0	4	4	12	9	1	0	1	7	17	8	1	2	40	9	26	6	7	0	5	7	0	0	5	4	0	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__SJAQ100	0	0	6	1	5	6	3	2	4	0	18	3	1	0	14	2	10	7	8	0	3	1	1	1	4	1	1	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__SJAQ100|s__SJAQ100 sp016735685	0	0	3	0	2	5	3	0	1	0	8	1	1	0	10	1	3	6	2	0	2	0	0	0	1	0	0	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__SJAQ100|s__SJAQ100 sp014145335	0	0	3	1	2	0	0	2	2	0	7	2	0	0	1	0	4	1	6	0	1	1	1	1	3	0	1	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__AAP99	0	1	2	2	4	2	9	0	2	0	25	10	0	0	11	1	5	3	0	0	1	1	0	0	9	0	2	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__AAP99|s__AAP99 sp001295775	0	1	2	2	4	2	9	0	2	0	25	10	0	0	11	1	5	3	0	0	1	1	0	0	9	0	2	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__VBCK01	0	0	5	2	11	8	0	2	1	1	6	6	2	0	2	3	4	0	28	1	2	2	0	0	1	0	10	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__VBCK01|s__VBCK01 sp019236735	0	0	2	2	1	1	0	0	1	1	1	3	0	0	1	3	4	0	9	1	2	0	0	0	1	0	5	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__VBCK01|s__VBCK01 sp005882215	0	0	2	0	9	7	0	2	0	0	5	3	2	0	1	0	0	0	19	0	0	2	0	0	0	0	5	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Pararobbsia	0	0	4	1	6	3	2	3	2	0	14	8	3	0	5	1	11	2	14	0	6	1	0	0	3	1	3	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Pararobbsia|s__Pararobbsia alpina	0	0	1	0	4	0	0	1	1	0	6	5	3	0	5	1	10	2	5	0	6	1	0	0	1	0	1	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Pararobbsia|s__Pararobbsia silviterrae	0	0	3	1	2	3	2	2	1	0	8	3	0	0	0	0	1	0	9	0	0	0	0	0	2	1	2	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__CAISIP01	0	0	0	4	17	16	13	0	9	3	16	8	3	3	34	4	17	6	17	0	13	8	0	1	9	3	2	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__CAISIP01|s__CAISIP01 sp018063505	0	0	0	0	2	3	11	0	4	0	3	4	1	0	12	0	7	3	10	0	4	5	0	1	3	1	1	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__CAISIP01|s__CAISIP01 sp903885415	0	0	0	2	10	8	0	0	4	2	7	1	0	2	11	1	6	2	1	0	5	1	0	0	1	0	1	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__CAISIP01|s__CAISIP01 sp016790475	0	0	0	2	5	5	2	0	1	1	6	3	2	1	11	3	4	1	6	0	4	2	0	0	5	2	0	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__JADJDQ01	0	0	4	1	6	2	2	0	1	1	30	17	1	0	21	1	13	2	1	1	4	2	0	0	0	3	1	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__JADJDQ01|s__JADJDQ01 sp016702605	0	0	4	1	6	2	2	0	1	1	30	17	1	0	21	1	13	2	1	1	4	2	0	0	0	3	1	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__DSNY01	0	0	2	1	6	0	4	0	0	0	4	1	2	0	3	0	2	1	12	0	4	4	0	1	4	1	2	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__DSNY01|s__DSNY01 sp016861185	0	0	2	1	6	0	4	0	0	0	4	1	2	0	3	0	2	1	12	0	4	4	0	1	4	1	2	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__JAAFIP01	0	0	3	3	51	13	17	3	21	9	41	22	12	4	163	40	81	28	2	0	22	6	0	0	17	4	2	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__JAAFIP01|s__JAAFIP01 sp018413605	0	0	1	1	9	3	5	2	6	3	17	9	3	0	47	11	22	10	0	0	7	1	0	0	1	2	0	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__JAAFIP01|s__JAAFIP01 sp013297925	0	0	2	0	14	3	3	0	2	1	9	3	6	2	32	8	21	7	2	0	4	0	0	0	9	1	2	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__JAAFIP01|s__JAAFIP01 sp013297865	0	0	0	1	16	5	5	1	5	5	6	5	3	0	57	14	23	5	0	0	7	3	0	0	4	1	0	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__JAAFIP01|s__JAAFIP01 sp012036375	0	0	0	1	10	2	0	0	8	0	6	5	0	2	16	5	8	3	0	0	4	1	0	0	2	0	0	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__SCQX01	0	0	1	1	6	4	0	0	1	0	7	1	0	0	8	1	3	2	1	0	1	0	0	0	3	0	0	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__SCQX01|s__SCQX01 sp004298545	0	0	1	1	6	4	0	0	1	0	7	1	0	0	8	1	3	2	1	0	1	0	0	0	3	0	0	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Azohydromonas	0	1	18	8	36	10	14	4	14	5	170	55	35	4	38	6	25	5	52	0	14	8	4	0	28	3	18	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Azohydromonas|s__Azohydromonas caseinilytica	0	0	5	4	7	2	2	2	3	2	20	12	8	2	7	1	1	0	6	0	1	0	0	0	7	1	2	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Azohydromonas|s__Azohydromonas australica	0	0	2	0	6	2	0	0	3	1	42	10	5	0	7	1	5	1	13	0	2	4	2	0	6	0	8	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Azohydromonas|s__Azohydromonas lata	0	0	4	0	12	2	4	1	3	2	38	9	4	1	3	1	3	1	14	0	6	0	0	0	6	1	2	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Azohydromonas|s__Azohydromonas aeria	0	1	6	3	8	3	8	0	5	0	28	17	15	0	19	2	14	2	15	0	4	4	0	0	6	0	4	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Bordetella_A	0	0	14	6	59	37	15	1	13	8	44	20	63	2	67	10	23	11	30	0	22	10	1	1	24	8	5	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Bordetella_A|s__Bordetella_A sp002261265	0	0	0	0	10	6	0	0	1	3	10	4	1	0	16	0	2	2	1	0	2	3	0	0	6	0	2	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Bordetella_A|s__Bordetella_A petrii_D	0	0	3	1	4	6	0	0	1	0	2	0	18	1	1	0	2	1	0	0	3	2	0	0	3	0	0	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Bordetella_A|s__Bordetella_A sp009763255	0	0	2	1	1	3	0	0	0	0	0	0	0	0	5	4	1	1	3	0	0	0	0	0	6	0	0	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Bordetella_A|s__Bordetella_A petrii_C	0	0	1	1	3	3	0	0	3	1	2	3	19	0	9	2	2	1	6	0	4	1	0	0	2	1	1	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Bordetella_A|s__Bordetella_A petrii	0	0	0	0	3	1	3	0	1	1	1	3	8	0	9	1	6	0	9	0	2	1	0	1	3	2	0	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Bordetella_A|s__Bordetella_A sp019218885	0	0	1	1	3	3	1	0	2	1	11	3	7	0	9	0	5	1	1	0	1	0	0	0	1	4	0	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Bordetella_A|s__Bordetella_A sp002261185	0	0	7	2	8	2	0	1	3	1	10	6	0	0	6	2	1	4	2	0	6	1	1	0	1	0	0	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Bordetella_A|s__Bordetella_A sp002261345	0	0	0	0	24	12	11	0	1	1	3	1	5	1	5	1	1	0	8	0	1	1	0	0	1	0	2	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Xylophilus	0	0	4	3	23	7	11	3	10	3	925	267	30	0	49	11	17	10	29	0	17	2	0	0	22	5	6	2
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Xylophilus|s__Xylophilus ampelinus	0	0	1	1	5	3	0	1	0	1	4	4	23	0	4	1	0	2	0	0	3	1	0	0	7	0	2	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Xylophilus|s__Xylophilus sp016428875	0	0	2	1	2	1	0	0	4	0	896	252	2	0	18	1	5	1	5	0	3	1	0	0	5	0	2	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Xylophilus|s__Xylophilus sp001421705	0	0	0	1	6	2	5	0	1	0	10	3	0	0	18	4	5	3	7	0	3	0	0	0	5	1	0	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Xylophilus|s__Xylophilus rhododendri	0	0	1	0	10	1	6	2	3	2	13	6	1	0	9	5	7	3	6	0	8	0	0	0	5	3	1	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Robbsia	0	0	6	5	24	12	8	1	8	1	25	9	10	0	3	4	6	1	0	0	2	3	0	0	1	0	3	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Robbsia|s__Robbsia sp900095735	0	0	3	3	24	10	7	1	2	1	20	4	10	0	1	2	1	1	0	0	1	2	0	0	1	0	3	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Robbsia|s__Robbsia andropogonis	0	0	3	2	0	2	1	0	6	0	5	5	0	0	2	2	5	0	0	0	1	1	0	0	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Candidimonas	0	1	8	2	6	4	0	0	2	1	30	12	2	0	30	5	10	2	0	1	3	3	0	0	8	5	0	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Candidimonas|s__Candidimonas humi	0	1	4	2	3	2	0	0	2	0	12	5	0	0	8	1	3	2	0	0	0	2	0	0	3	1	0	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Candidimonas|s__Candidimonas nitroreducens	0	0	4	0	3	2	0	0	0	1	16	7	2	0	22	3	7	0	0	1	2	1	0	0	2	4	0	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__PCRC01	0	0	6	1	9	9	8	1	1	0	15	4	4	0	29	5	14	4	3	0	6	2	0	0	7	0	1	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__PCRC01|s__PCRC01 sp017848435	0	0	6	1	9	9	8	1	1	0	15	4	4	0	29	5	14	4	3	0	6	2	0	0	7	0	1	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Quisquiliibacterium	0	0	4	2	7	5	0	1	4	3	5	7	0	1	10	2	6	0	16	0	5	1	0	0	7	1	1	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Quisquiliibacterium|s__Quisquiliibacterium transsilvanicum	0	0	4	2	7	5	0	1	4	3	5	7	0	1	10	2	6	0	16	0	5	1	0	0	7	1	1	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__UBA4657	0	0	2	1	5	4	0	0	1	1	9	5	0	0	18	5	10	1	2	1	0	1	0	0	1	1	0	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__UBA4657|s__UBA4657 sp002405475	0	0	2	1	5	4	0	0	1	1	9	5	0	0	18	5	10	1	2	1	0	1	0	0	1	1	0	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Comamonas_F	0	0	5	1	19	12	50	1	5	1	26	7	38	7	44	5	22	7	7	1	9	4	1	0	13	3	2	2
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Comamonas_F|s__Comamonas_F sediminis	0	0	1	1	6	5	50	0	2	1	16	6	0	2	26	3	14	5	5	1	6	2	1	0	8	1	2	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Comamonas_F|s__Comamonas_F wautersii_A	0	0	4	0	12	7	0	1	3	0	10	1	38	5	18	2	8	1	2	0	3	2	0	0	5	2	0	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__JACMQX01	0	0	4	1	17	8	22	0	9	4	32	18	9	0	127	23	52	19	6	0	23	7	0	0	13	4	3	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__JACMQX01|s__JACMQX01 sp013297875	0	0	1	1	15	3	16	0	7	3	21	11	7	0	105	20	43	16	5	0	19	5	0	0	8	2	1	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__JACMQX01|s__JACMQX01 sp014376765	0	0	3	0	2	5	6	0	2	1	10	7	2	0	22	3	9	3	1	0	4	2	0	0	5	2	2	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Lacisediminimonas	0	0	3	0	2	3	2	1	3	4	11	1	2	0	3	1	3	1	7	0	2	0	0	0	3	0	0	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Lacisediminimonas|s__Lacisediminimonas profundi	0	0	3	0	2	3	2	1	3	4	11	1	2	0	3	1	3	1	7	0	2	0	0	0	3	0	0	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__LMDS01	0	1	5	1	16	2	25	0	5	1	66	27	31	2	9	0	5	4	27	4	2	3	2	0	12	3	14	3
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__LMDS01|s__LMDS01 sp001425865	0	1	0	0	5	0	15	0	1	0	33	15	21	2	4	0	1	1	8	3	2	3	2	0	3	3	10	3
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__LMDS01|s__LMDS01 sp001263235	0	0	5	1	11	2	10	0	4	1	33	12	10	0	5	0	4	3	19	1	0	0	0	0	9	0	4	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__JACCES01	0	0	2	0	11	4	2	0	3	0	7	4	0	0	12	3	4	1	1	0	4	0	0	0	3	1	0	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__JACCES01|s__JACCES01 sp013416455	0	0	2	0	11	4	2	0	3	0	7	4	0	0	12	3	4	1	1	0	4	0	0	0	3	1	0	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__JAAFJR01	0	0	5	2	15	13	30	0	4	2	14	10	3	0	36	10	26	12	0	0	11	7	2	0	4	2	7	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__JAAFJR01|s__JAAFJR01 sp013298945	0	0	0	2	5	7	12	0	0	1	6	0	0	0	9	0	6	1	0	0	5	1	1	0	0	0	1	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__JAAFJR01|s__JAAFJR01 sp016705065	0	0	1	0	4	3	2	0	2	1	5	4	0	0	10	3	7	8	0	0	3	3	1	0	3	0	0	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__JAAFJR01|s__JAAFJR01 sp013298815	0	0	4	0	6	3	15	0	2	0	2	6	3	0	16	7	13	2	0	0	3	3	0	0	1	1	2	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__VBDL01	0	0	0	0	4	2	1	0	1	1	5	7	1	0	3	0	3	1	3	0	3	2	0	0	6	1	2	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__VBDL01|s__VBDL01 sp005884255	0	0	0	0	4	2	1	0	1	1	5	7	1	0	3	0	3	1	3	0	3	2	0	0	6	1	2	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Turicimonas	0	0	1	0	1	0	0	0	0	0	2	0	0	0	6	1	1	1	0	0	1	2	0	0	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Turicimonas|s__Turicimonas sp900542195	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Turicimonas|s__Turicimonas muris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	1	1	0	0	1	2	0	0	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__SYFN01	0	0	4	5	12	13	5	0	6	6	33	25	3	0	42	11	14	8	9	0	13	4	0	0	5	2	5	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__SYFN01|s__SYFN01 sp016868055	0	0	0	1	2	1	0	0	1	3	5	2	0	0	7	1	3	3	3	0	1	0	0	0	0	0	0	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__SYFN01|s__SYFN01 sp903904635	0	0	0	0	2	0	0	0	0	0	6	9	0	0	5	2	1	1	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__SYFN01|s__SYFN01 sp903872555	0	0	1	1	1	0	0	0	0	0	1	0	0	0	3	1	2	1	0	0	1	1	0	0	2	0	3	0
