Species	BAN001.A0101.SG1.1_5M	BAN001.A0101.SG1.1_5M_over50bp	BAN001.A0101.SG1.1_5M_under50bp	BAN001.A0102.SG1.4_5M	BAN001.A0102.SG1.4_5M_over50bp	BAN001.A0102.SG1.4_5M_under50bp	CDM019.A0101.SG1.1_5M	CDM019.A0101.SG1.1_5M_over50bp	CDM019.A0101.SG1.1_5M_under50bp	CDM019.A0102.SG1.4_5M	CDM019.A0102.SG1.4_5M_over50bp	CDM019.A0102.SG1.4_5M_under50bp	CDM020.A0101.SG1.1_5M	CDM020.A0101.SG1.1_5M_over50bp	CDM020.A0101.SG1.1_5M_under50bp	CDM020.A0102.SG1.4_5M	CDM020.A0102.SG1.4_5M_over50bp	CDM020.A0102.SG1.4_5M_under50bp	FUM002.A0101.SG1.1_5M	FUM002.A0101.SG1.1_5M_over50bp	FUM002.A0101.SG1.1_5M_under50bp	FUM002.A0102.SG1.5_5M	FUM002.A0102.SG1.5_5M_over50bp	FUM002.A0102.SG1.5_5M_under50bp	FUM003.A0101.SG1.1_5M	FUM003.A0101.SG1.1_5M_over50bp	FUM003.A0101.SG1.1_5M_under50bp	FUM003.A0102.SG1.4_5M	FUM003.A0102.SG1.4_5M_over50bp	FUM003.A0102.SG1.4_5M_under50bp	GDN001.A0101.SG1.1_5M	GDN001.A0101.SG1.1_5M_over50bp	GDN001.A0101.SG1.1_5M_under50bp	GDN001.A0102.SG1.3_5M	GDN001.A0102.SG1.3_5M_over50bp	GDN001.A0102.SG1.3_5M_under50bp	GOY005.A0101.SG1.2_5M	GOY005.A0101.SG1.2_5M_over50bp	GOY005.A0101.SG1.2_5M_under50bp	GOY005.A0103.SG1.4_5M	GOY005.A0103.SG1.4_5M_over50bp	GOY005.A0103.SG1.4_5M_under50bp	GOY006.A0101.SG1.2_5M	GOY006.A0101.SG1.2_5M_over50bp	GOY006.A0101.SG1.2_5M_under50bp	GOY006.A0102.SG1.5_5M	GOY006.A0102.SG1.5_5M_over50bp	GOY006.A0102.SG1.5_5M_under50bp	PES001.B0101.SG1.3_5M	PES001.B0101.SG1.3_5M_over50bp	PES001.B0101.SG1.3_5M_under50bp	PES001.B0102.SG1.5_5M	PES001.B0102.SG1.5_5M_over50bp	PES001.B0102.SG1.5_5M_under50bp	VLD001.A0101.SG1.1_5M	VLD001.A0101.SG1.1_5M_over50bp	VLD001.A0101.SG1.1_5M_under50bp	VLD001.A0102.SG1.2_5M	VLD001.A0102.SG1.2_5M_over50bp	VLD001.A0102.SG1.2_5M_under50bp
Acinetobacter kyonggiensis	0	0	0	8	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	2	2	0	0	0	0	0	0	0	0	0	0	4	3	1	11	10	1	30	21	9	350	337	13	659	608	51	39	24	15	33	20	13
Acinetobacter lwoffii	19	16	3	56	34	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	15	12	3	9	8	1	5	5	0	2	2	0	101	96	5	41	34	7	19	15	4	18	13	5	158	158	0	193	178	15	87	73	14	80	44	36
Acinetobacter lwoffii D	25	17	8	58	27	31	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	3	3	0	11	11	0	10	9	1	0	0	0	0	0	0	85	77	8	21	14	7	15	11	4	15	12	3	595	577	18	1022	933	89	48	38	10	29	17	12
Acinetobacter parvus	5	3	2	6	5	1	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	22	21	1	18	15	3	1	1	0	3	3	0	16	16	0	10	8	2	1867	1740	127	1320	1053	267	97	92	5	161	146	15	62	50	12	42	27	15
Acinetobacter pseudolwoffii	11	7	4	23	10	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	8	5	3	6	5	1	0	0	0	2	2	0	32	27	5	13	11	2	46	38	8	256	230	26	133	127	6	185	158	27	942	740	202	670	363	307
Acinetobacter sichuanensis	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	2	2	0	4	3	1	3	3	0	5	4	1	90	88	2	111	99	12	282	231	51	237	129	108
Acinetobacter sp000214135	4	3	1	10	5	5	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	2	0	0	0	0	5	5	0	2	1	1	6	6	0	4	2	2	8	8	0	8	6	2	171	168	3	264	239	25	158	120	38	133	67	66
Acinetobacter sp000369525	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	2	2	2	0	0	0	0	1	1	0	2	2	0	0	0	0	13	12	1	3	2	1	90	88	2	148	137	11	448	354	94	336	196	140
Acinetobacter sp000369645	3	1	2	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	2	0	0	0	0	0	0	0	1	0	1	3	3	0	1	0	1	30	26	4	25	17	8	50	49	1	89	79	10	359	273	86	402	205	197
Acinetobacter sp001612555	3	2	1	21	7	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	2	1	1	4	4	0	7	6	1	327	321	6	631	597	34	28	13	15	25	15	10
Acinetobacter sp001696615	2	2	0	2	1	1	0	0	0	0	0	0	2	1	1	0	0	0	1	0	1	0	0	0	2	2	0	2	2	0	0	0	0	0	0	0	1	1	0	1	1	0	7	7	0	8	6	2	89	86	3	145	126	19	226	180	46	202	115	87
Acinetobacter sp002135205	14	13	1	21	11	10	0	0	0	0	0	0	0	0	0	0	0	0	5	5	0	5	4	1	14	12	2	5	4	1	2	2	0	1	1	0	12	12	0	4	1	3	39	32	7	43	34	9	2118	2068	50	2461	2195	266	3344	2684	660	2240	1292	948
Acinetobacter sp002135245	1	1	0	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	1	1	0	2	2	0	0	0	0	0	0	0	3	3	0	1	0	1	3	3	0	11	10	1	322	317	5	520	458	62	52	34	18	77	40	37
Acinetobacter sp002165305	36	24	12	56	31	25	0	0	0	0	0	0	0	0	0	0	0	0	5	5	0	4	2	2	14	12	2	18	12	6	16	16	0	0	0	0	44	38	6	14	11	3	136	122	14	101	79	22	5434	5323	111	6232	5564	668	7027	5591	1436	4184	2248	1936
Acinetobacter sp004331285	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	6	5	1	0	0	0	9	8	1	17	10	7	961	921	40	1287	1085	202	6	4	2	22	15	7
Acinetobacter sp013072695	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	1	1	0	0	0	0	0	0	0	2	2	0	2	2	0	9	9	0	5	5	0	362	356	6	705	640	65	39	31	8	34	22	12
Acinetobacter ursingii	4	2	2	9	6	3	0	0	0	0	0	0	1	0	1	0	0	0	4	3	1	8	7	1	38	32	6	30	26	4	4	4	0	6	3	3	26	24	2	10	4	6	24	23	1	17	15	2	6728	6595	133	7816	6946	870	158	116	42	143	82	61
Acinetobacter variabilis	10	8	2	19	12	7	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	2	0	8	6	2	11	10	1	2	2	0	3	2	1	118	107	11	38	26	12	14	14	0	13	10	3	155	153	2	197	160	37	45	37	8	34	17	17
Actinomyces bovis	1	1	0	0	0	0	83	63	20	40	28	12	96	76	20	64	47	17	207	112	95	137	70	67	38	19	19	29	12	17	393	302	91	141	89	52	51	24	27	30	15	15	121	71	50	62	33	29	183	146	37	121	81	40	78	56	22	38	13	25
Actinomyces bowdenii	0	0	0	1	1	0	364	303	61	236	179	57	182	141	41	79	57	22	780	509	271	462	271	191	94	59	35	46	20	26	1932	1528	404	658	428	230	118	67	51	50	22	28	516	360	156	267	139	128	472	380	92	246	163	83	211	141	70	94	45	49
Actinomyces bowdenii B	0	0	0	0	0	0	156	119	37	52	35	17	178	135	43	85	55	30	816	533	283	422	221	201	89	60	29	43	19	24	1478	1140	338	305	182	123	169	95	74	69	23	46	373	223	150	168	86	82	590	493	97	313	194	119	231	159	72	106	41	65
Actinomyces dentalis	4	1	3	1	0	1	123813	103297	20516	45076	30903	14173	80688	63794	16894	31696	20521	11175	4673	2938	1735	2262	1067	1195	474	313	161	233	82	151	76287	58376	17911	17556	9573	7983	1738	933	805	596	227	369	9179	6003	3176	3327	1617	1710	37896	33521	4375	15730	11009	4721	41600	29010	12590	16775	7978	8797
Actinomyces denticolens	0	0	0	0	0	0	102	85	17	45	26	19	116	94	22	59	37	22	252	163	89	151	79	72	66	42	24	29	13	16	938	732	206	194	136	58	94	45	49	32	10	22	199	125	74	85	46	39	292	243	49	164	104	60	126	64	62	73	32	41
Actinomyces gaoshouyii	0	0	0	0	0	0	65	51	14	30	16	14	102	78	24	43	30	13	219	128	91	116	66	50	32	23	9	22	8	14	751	624	127	199	119	80	60	34	26	20	3	17	139	81	58	64	27	37	267	224	43	162	113	49	146	97	49	48	24	24
Actinomyces gerencseriae	0	0	0	2	0	2	6816	5666	1150	2617	1751	866	6088	4640	1448	2497	1542	955	1893	1264	629	953	533	420	620	432	188	257	109	148	7428	5943	1485	1695	1031	664	1911	1151	760	560	236	324	3736	2617	1119	1173	582	591	7501	6458	1043	3849	2612	1237	86719	63116	23603	27185	13671	13514
Actinomyces glycerinitolerans	0	0	0	0	0	0	72	58	14	29	18	11	89	73	16	50	34	16	88	51	37	46	23	23	12	8	4	9	1	8	293	238	55	72	39	33	30	18	12	7	1	6	55	38	17	20	9	11	96	74	22	51	29	22	44	33	11	26	12	14
Actinomyces haliotis	0	0	0	0	0	0	79	57	22	45	26	19	178	139	39	85	50	35	265	170	95	122	61	61	48	26	22	15	7	8	1402	1082	320	335	209	126	101	49	52	40	16	24	247	166	81	110	47	63	371	293	78	208	121	87	175	105	70	83	34	49
Actinomyces howellii	0	0	0	0	0	0	252	209	43	128	82	46	415	340	75	196	137	59	1213	817	396	603	337	266	84	52	32	48	20	28	15597	12860	2737	3730	2381	1349	289	172	117	94	37	57	2290	1546	744	936	518	418	4164	3658	506	2177	1568	609	1325	890	435	641	306	335
Actinomyces israelii	1	1	0	1	0	1	837	678	159	373	244	129	672	523	149	311	212	99	604	371	233	311	170	141	90	62	28	53	29	24	3465	2640	825	792	469	323	184	83	101	57	23	34	551	336	215	239	106	133	1116	926	190	616	392	224	2016	1314	702	786	352	434
Actinomyces johnsonii	1	1	0	3	0	3	1417	1167	250	665	465	200	5298	4424	874	2404	1642	762	22452	15175	7277	11558	6480	5078	7510	4771	2739	3923	1709	2214	993	774	219	251	143	108	5813	3347	2466	2086	834	1252	4181	2765	1416	1698	861	837	10395	9059	1336	5082	3584	1498	3919	2628	1291	1758	882	876
Actinomyces lilanjuaniae	0	0	0	1	0	1	53	42	11	36	23	13	84	71	13	42	29	13	279	181	98	144	74	70	46	21	25	27	14	13	704	562	142	212	138	74	52	29	23	30	8	22	162	101	61	101	49	52	223	195	28	140	84	56	107	71	36	53	23	30
Actinomyces marmotae	0	0	0	0	0	0	99	79	20	43	31	12	141	114	27	61	47	14	295	174	121	158	92	66	45	31	14	12	6	6	582	429	153	115	58	57	86	54	32	21	10	11	119	72	47	78	42	36	230	184	46	131	90	41	112	63	49	46	19	27
Actinomyces massiliensis	0	0	0	1	1	0	530	420	110	225	148	77	436	330	106	231	143	88	875	548	327	445	230	215	217	153	64	89	41	48	1735	1403	332	447	253	194	301	168	133	101	40	61	549	335	214	212	102	110	962	817	145	527	362	165	2804	1982	822	956	434	522
Actinomyces naeslundii	0	0	0	1	0	1	1262	1061	201	571	403	168	7721	6332	1389	3550	2395	1155	19518	13510	6008	9741	5408	4333	2955	1997	958	1324	644	680	801	621	180	196	122	74	11441	6884	4557	3544	1485	2059	4939	3234	1705	2031	1014	1017	10845	9540	1305	4988	3567	1421	2001	1312	689	912	415	497
Actinomyces oricola	0	0	0	0	0	0	186	154	32	117	82	35	264	191	73	137	88	49	806	527	279	463	259	204	81	50	31	39	17	22	7422	5812	1610	1820	1072	748	174	93	81	89	31	58	1051	666	385	462	207	255	1907	1644	263	955	628	327	723	477	246	319	131	188
Actinomyces oris	6	4	2	4	1	3	1025	846	179	446	310	136	644	513	131	315	212	103	8232	5521	2711	4252	2324	1928	1169	792	377	516	243	273	405	335	70	112	69	43	1254	736	518	455	193	262	1850	1229	621	774	362	412	4561	3958	603	2298	1567	731	561	404	157	219	107	112
Actinomyces oris A	3	1	2	3	1	2	462	364	98	192	125	67	469	395	74	227	148	79	6181	4138	2043	3111	1739	1372	848	596	252	421	203	218	333	255	78	91	54	37	1007	591	416	393	159	234	1360	875	485	590	276	314	3069	2670	399	1497	1038	459	248	150	98	98	44	54
Actinomyces oris B	0	0	0	0	0	0	1933	1568	365	850	565	285	2408	1960	448	1146	794	352	22948	15762	7186	12012	6603	5409	1633	1045	588	824	365	459	3444	2736	708	835	518	317	1862	1056	806	691	284	407	2994	1977	1017	1281	629	652	10324	9059	1265	4987	3480	1507	1569	1022	547	681	346	335
Actinomyces oris C	2	2	0	2	1	1	344	288	56	128	90	38	556	452	104	290	196	94	9234	6080	3154	4664	2606	2058	918	628	290	524	271	253	689	552	137	166	89	77	1292	736	556	458	190	268	1815	1132	683	755	383	372	4518	3907	611	2136	1470	666	552	378	174	287	131	156
Actinomyces oris D	2	2	0	0	0	0	203	166	37	86	57	29	1555	1275	280	731	500	231	7963	5305	2658	4061	2201	1860	1299	821	478	634	310	324	608	499	109	140	82	58	2301	1284	1017	788	311	477	2701	1692	1009	1104	522	582	10852	9556	1296	5091	3430	1661	475	312	163	213	109	104
Actinomyces oris E	4	3	1	4	1	3	197	163	34	104	71	33	797	644	153	392	255	137	7187	4741	2446	3662	1981	1681	1147	789	358	542	235	307	580	484	96	110	56	54	1449	865	584	513	204	309	1902	1200	702	796	383	413	4630	4034	596	2223	1536	687	436	277	159	175	89	86
Actinomyces procaprae	0	0	0	0	0	0	113	89	24	55	36	19	121	87	34	71	45	26	234	143	91	105	62	43	33	17	16	20	9	11	1158	915	243	285	175	110	70	36	34	27	13	14	213	135	78	88	42	46	343	289	54	195	126	69	149	86	63	84	33	51
Actinomyces qiguomingii	0	0	0	0	0	0	125	102	23	97	71	26	192	153	39	100	66	34	315	197	118	177	83	94	40	25	15	21	7	14	1143	917	226	280	173	107	78	44	34	25	10	15	223	133	90	99	41	58	341	288	53	215	148	67	219	141	78	97	50	47
Actinomyces radicidentis	0	0	0	0	0	0	138	104	34	55	31	24	285	214	71	129	82	47	369	232	137	202	112	90	52	29	23	35	13	22	1850	1430	420	440	272	168	169	89	80	60	26	34	418	260	158	192	88	104	496	405	91	283	172	111	222	143	79	107	42	65
Actinomyces ruminicola	0	0	0	0	0	0	127	99	28	60	38	22	147	113	34	81	49	32	222	142	80	128	67	61	38	22	16	23	8	15	1159	882	277	323	192	131	68	34	34	28	11	17	219	130	89	84	34	50	340	273	67	199	126	73	184	116	68	82	36	46
Actinomyces slackii	0	0	0	0	0	0	174	134	40	60	38	22	235	190	45	97	64	33	718	470	248	397	207	190	97	61	36	47	17	30	2301	1708	593	597	378	219	171	83	88	62	23	39	500	316	184	226	107	119	798	652	146	425	279	146	316	191	125	158	55	103
Actinomyces sp000195595	4	3	1	1	1	0	207	171	36	93	56	37	880	713	167	399	269	130	11813	7953	3860	5851	3167	2684	1696	1117	579	791	388	403	661	508	153	199	120	79	2638	1519	1119	902	391	511	2864	1834	1030	1186	581	605	4606	3934	672	2300	1584	716	775	523	252	344	148	196
Actinomyces sp000220835	1	0	1	1	0	1	499	385	114	239	168	71	413	321	92	192	122	70	570	375	195	344	189	155	381	304	77	186	113	73	1864	1421	443	475	282	193	204	115	89	94	29	65	425	285	140	176	82	94	695	576	119	357	238	119	1198	826	372	429	189	240
Actinomyces sp001278845	3	1	2	1	0	1	71258	58966	12292	28359	19269	9090	37477	29917	7560	15511	10292	5219	3076	1941	1135	1582	795	787	336	207	129	182	85	97	40649	31414	9235	9345	5342	4003	1134	646	488	385	153	232	5512	3663	1849	2162	1117	1045	21879	19341	2538	9491	6771	2720	27015	19087	7928	10999	5344	5655
Actinomyces sp002154335	0	0	0	0	0	0	94	75	19	54	30	24	139	100	39	72	46	26	246	139	107	154	82	72	42	25	17	15	9	6	801	609	192	214	120	94	66	41	25	32	15	17	147	92	55	60	40	20	246	203	43	169	108	61	118	79	39	60	22	38
Actinomyces sp002999235	0	0	0	0	0	0	689	574	115	284	195	89	581	444	137	270	179	91	561	356	205	276	146	130	120	76	44	44	24	20	2171	1696	475	610	343	267	158	92	66	59	28	31	452	299	153	192	88	104	826	708	118	448	302	146	759	501	258	309	157	152
Actinomyces sp009930875	0	0	0	1	0	1	122	105	17	58	31	27	128	102	26	63	35	28	291	179	112	139	74	65	32	16	16	22	9	13	983	758	225	271	156	115	70	40	30	30	6	24	199	119	80	104	43	61	286	221	65	195	118	77	161	101	60	76	29	47
Actinomyces sp011751985	0	0	0	0	0	0	992	843	149	407	286	121	4637	4015	622	1834	1332	502	3158	2175	983	1641	929	712	435	293	142	261	137	124	4429	3568	861	1093	648	445	1532	870	662	556	224	332	1998	1308	690	875	445	430	4216	3704	512	1931	1365	566	435	296	139	219	94	125
Actinomyces sp011752065	0	0	0	0	0	0	186	148	38	63	39	24	503	398	105	238	161	77	6770	4462	2308	3305	1785	1520	1054	681	373	480	234	246	611	478	133	152	99	53	1433	798	635	436	172	264	1676	1010	666	704	331	373	2573	2171	402	1296	867	429	813	546	267	344	177	167
Actinomyces sp013185035	1	0	1	0	0	0	175	146	29	97	63	34	259	203	56	139	84	55	395	245	150	209	112	97	74	42	32	36	18	18	1659	1306	353	368	210	158	116	56	60	50	23	27	323	215	108	138	69	69	522	439	83	299	206	93	232	146	86	102	47	55
Actinomyces sp015711475	0	0	0	0	0	0	76	62	14	48	27	21	171	130	41	105	77	28	348	230	118	201	111	90	67	47	20	22	11	11	995	805	190	210	130	80	90	43	47	49	19	30	176	111	65	72	34	38	364	326	38	205	144	61	123	74	49	56	32	24
Actinomyces sp900323545	0	0	0	2	0	2	268	222	46	103	71	32	7634	6509	1125	2999	2112	887	115021	80408	34613	54178	30619	23559	10620	7227	3393	5012	2512	2500	1302	1019	283	341	208	133	20595	11813	8782	7225	2822	4403	34086	22754	11332	13000	6460	6540	49451	44013	5438	21526	15606	5920	1320	897	423	578	272	306
Actinomyces succiniciruminis	0	0	0	0	0	0	57	44	13	21	13	8	80	66	14	36	23	13	113	71	42	75	36	39	15	10	5	10	5	5	418	333	85	92	57	35	23	7	16	15	7	8	76	48	28	43	19	24	122	105	17	67	48	19	67	39	28	36	15	21
Actinomyces timonensis	1	1	0	1	0	1	170	135	35	70	45	25	213	168	45	103	65	38	767	514	253	534	302	232	107	70	37	63	29	34	1043	775	268	295	172	123	156	82	74	79	33	46	315	190	125	158	74	84	518	426	92	295	186	109	259	171	88	128	66	62
Actinomyces urogenitalis	0	0	0	0	0	0	140	101	39	89	54	35	263	198	65	130	90	40	419	264	155	242	119	123	78	47	31	29	13	16	1561	1279	282	426	248	178	152	76	76	47	20	27	308	196	112	154	76	78	528	434	94	319	219	100	206	126	80	112	44	68
Actinomyces viscosus	0	0	0	1	0	1	220	174	46	106	72	34	567	438	129	275	181	94	7482	4954	2528	3799	2053	1746	1053	671	382	559	260	299	643	497	146	175	100	75	1608	849	759	599	239	360	1799	1148	651	715	321	394	2768	2362	406	1397	961	436	747	511	236	307	143	164
Actinomyces weissii	1	0	1	0	0	0	84	70	14	38	24	14	156	126	30	98	64	34	300	181	119	134	67	67	77	50	27	48	24	24	1112	892	220	321	182	139	115	60	55	45	16	29	231	138	93	132	69	63	379	326	53	215	135	80	157	94	63	76	26	50
Actinomyces wuliandei	0	0	0	0	0	0	39	34	5	30	17	13	73	55	18	52	31	21	936	630	306	569	333	236	33	24	9	25	12	13	642	515	127	156	87	69	82	48	34	26	12	14	155	99	56	74	31	43	224	182	42	157	102	55	135	85	50	63	30	33
Aerococcus sp002252085	0	0	0	3	0	3	0	0	0	3	2	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	697	632	65	697	512	185	1	1	0	4	4	0	0	0	0	1	0	1
Aerococcus urinaeequi	23	17	6	38	23	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	3	0	3	2	2	0	3	2	1	42	41	1	8	6	2	1095	993	102	991	782	209	5	4	1	15	15	0	1	1	0	1	0	1
Aerococcus viridans	9	7	2	22	8	14	0	0	0	0	0	0	0	0	0	1	0	1	2	1	1	0	0	0	7	6	1	12	10	2	0	0	0	1	1	0	7	7	0	1	0	1	1311	1199	112	1272	994	278	11	11	0	14	13	1	1	1	0	1	1	0
Aerococcus viridans C	4	4	0	13	8	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	4	2	2	9	0	9	1	1	0	9	9	0	1	1	0	417	389	28	414	331	83	2	2	0	9	9	0	2	2	0	2	1	1
Aeromonas caviae	6	0	6	4	2	2	1	1	0	0	0	0	0	0	0	1	1	0	4	3	1	1	1	0	34	28	6	23	17	6	3	3	0	4	1	3	1277	1147	130	306	221	85	8	6	2	3	2	1	16	16	0	8	4	4	7	4	3	8	4	4
Afipia broomeae	4	3	1	5	1	4	0	0	0	1	0	1	0	0	0	2	2	0	2	1	1	1	0	1	5462	5017	445	3067	2189	878	8	2	6	9	4	5	2	2	0	0	0	0	0	0	0	2	2	0	4	3	1	8	4	4	3	0	3	3	2	1
