"Sequencing_ID"	"Library_ID"	"Subsampled_Individual_ID"	"Individual_ID"	"Strandedness"	"Sequencing_setup"	"UDG_treatment"	"Read_length_subsampling"	"read_count"	"avg_rl_post_subsampling"	"avg_gc_post_subsampling"	"subsampling"	"kraken2_preservation"
"GOY005.A0103.SG1.4_5M_over50bp"	"GOY005.A0103_5M_over50bp"	"GOY005_5M_over50bp"	"GOY005"	"Single"	"PE"	"none"	"over50bp"	1107410	63.3	41.99	"5M_over50bp"	"Good"
"GOY006.A0101.SG1.2_5M_over50bp"	"GOY006.A0101_5M_over50bp"	"GOY006_5M_over50bp"	"GOY006"	"Double"	"PE"	"none"	"over50bp"	2474767	71.4	53.65	"5M_over50bp"	"Good"
"GOY006.A0102.SG1.5_5M_over50bp"	"GOY006.A0102_5M_over50bp"	"GOY006_5M_over50bp"	"GOY006"	"Single"	"PE"	"none"	"over50bp"	1520137	67.5	45.24	"5M_over50bp"	"Good"
"PES001.B0101.SG1.3_5M_over50bp"	"PES001.B0101_5M_over50bp"	"PES001_5M_over50bp"	"PES001"	"Double"	"PE"	"none"	"over50bp"	3913792	80.8	56.57	"5M_over50bp"	"Good"
"PES001.B0102.SG1.5_5M_over50bp"	"PES001.B0102_5M_over50bp"	"PES001_5M_over50bp"	"PES001"	"Single"	"PE"	"none"	"over50bp"	2515611	74.5	49.93	"5M_over50bp"	"Good"
"VLD001.A0101.SG1.1_5M_over50bp"	"VLD001.A0101_5M_over50bp"	"VLD001_5M_over50bp"	"VLD001"	"Double"	"PE"	"none"	"over50bp"	2523940	71	50.03	"5M_over50bp"	"Good"
"VLD001.A0102.SG1.2_5M_over50bp"	"VLD001.A0102_5M_over50bp"	"VLD001_5M_over50bp"	"VLD001"	"Single"	"PE"	"none"	"over50bp"	1313405	64.6	42.58	"5M_over50bp"	"Good"
"BAN001.A0101.SG1.1_5M_under50bp"	"BAN001.A0101_5M_under50bp"	"BAN001_5M_under50bp"	"BAN001"	"Double"	"PE"	"none"	"under50bp"	1790366	40	50.33	"5M_under50bp"	"Bad"
"BAN001.A0102.SG1.4_5M_under50bp"	"BAN001.A0102_5M_under50bp"	"BAN001_5M_under50bp"	"BAN001"	"Single"	"PE"	"none"	"under50bp"	3514152	37.6	44.44	"5M_under50bp"	"Bad"
"CDM019.A0101.SG1.1_5M_under50bp"	"CDM019.A0101_5M_under50bp"	"CDM019_5M_under50bp"	"CDM019"	"Double"	"PE"	"none"	"under50bp"	1537091	40.3	58.87	"5M_under50bp"	"Good"
"CDM019.A0102.SG1.4_5M_under50bp"	"CDM019.A0102_5M_under50bp"	"CDM019_5M_under50bp"	"CDM019"	"Single"	"PE"	"none"	"under50bp"	2409919	39	52.15	"5M_under50bp"	"Good"
"CDM020.A0101.SG1.1_5M_under50bp"	"CDM020.A0101_5M_under50bp"	"CDM020_5M_under50bp"	"CDM020"	"Double"	"PE"	"none"	"under50bp"	1833201	39.9	57.93	"5M_under50bp"	"Good"
"CDM020.A0102.SG1.4_5M_under50bp"	"CDM020.A0102_5M_under50bp"	"CDM020_5M_under50bp"	"CDM020"	"Single"	"PE"	"none"	"under50bp"	2488371	39.1	52.5	"5M_under50bp"	"Good"
"FUM002.A0101.SG1.1_5M_under50bp"	"FUM002.A0101_5M_under50bp"	"FUM002_5M_under50bp"	"FUM002"	"Double"	"PE"	"none"	"under50bp"	2952916	38.8	58.04	"5M_under50bp"	"Good"
"FUM002.A0102.SG1.5_5M_under50bp"	"FUM002.A0102_5M_under50bp"	"FUM002_5M_under50bp"	"FUM002"	"Single"	"PE"	"none"	"under50bp"	3563437	37.8	53.3	"5M_under50bp"	"Good"
"FUM003.A0101.SG1.1_5M_under50bp"	"FUM003.A0101_5M_under50bp"	"FUM003_5M_under50bp"	"FUM003"	"Double"	"PE"	"none"	"under50bp"	1550919	39.2	60.75	"5M_under50bp"	"Good"
"FUM003.A0102.SG1.4_5M_under50bp"	"FUM003.A0102_5M_under50bp"	"FUM003_5M_under50bp"	"FUM003"	"Single"	"PE"	"none"	"under50bp"	3128804	37.8	59.3	"5M_under50bp"	"Bad"
"GDN001.A0101.SG1.1_5M_under50bp"	"GDN001.A0101_5M_under50bp"	"GDN001_5M_under50bp"	"GDN001"	"Double"	"PE"	"none"	"under50bp"	1608739	40.8	60.84	"5M_under50bp"	"Good"
"GDN001.A0102.SG1.3_5M_under50bp"	"GDN001.A0102_5M_under50bp"	"GDN001_5M_under50bp"	"GDN001"	"Single"	"PE"	"none"	"under50bp"	2914619	38.6	43.32	"5M_under50bp"	"Good"
"GOY005.A0101.SG1.2_5M_under50bp"	"GOY005.A0101_5M_under50bp"	"GOY005_5M_under50bp"	"GOY005"	"Double"	"PE"	"none"	"under50bp"	2997854	38.5	55.13	"5M_under50bp"	"Good"
"GOY005.A0103.SG1.4_5M_under50bp"	"GOY005.A0103_5M_under50bp"	"GOY005_5M_under50bp"	"GOY005"	"Single"	"PE"	"none"	"under50bp"	3892590	37.3	45.89	"5M_under50bp"	"Good"
"GOY006.A0101.SG1.2_5M_under50bp"	"GOY006.A0101_5M_under50bp"	"GOY006_5M_under50bp"	"GOY006"	"Double"	"PE"	"none"	"under50bp"	2525233	39.1	57.97	"5M_under50bp"	"Good"
"GOY006.A0102.SG1.5_5M_under50bp"	"GOY006.A0102_5M_under50bp"	"GOY006_5M_under50bp"	"GOY006"	"Single"	"PE"	"none"	"under50bp"	3479863	37.8	49.54	"5M_under50bp"	"Good"
"PES001.B0101.SG1.3_5M_under50bp"	"PES001.B0101_5M_under50bp"	"PES001_5M_under50bp"	"PES001"	"Double"	"PE"	"none"	"under50bp"	1086208	40.5	59.67	"5M_under50bp"	"Good"
"PES001.B0102.SG1.5_5M_under50bp"	"PES001.B0102_5M_under50bp"	"PES001_5M_under50bp"	"PES001"	"Single"	"PE"	"none"	"under50bp"	2484389	38.4	53.58	"5M_under50bp"	"Good"
"VLD001.A0101.SG1.1_5M_under50bp"	"VLD001.A0101_5M_under50bp"	"VLD001_5M_under50bp"	"VLD001"	"Double"	"PE"	"none"	"under50bp"	2476060	39.1	55.16	"5M_under50bp"	"Good"
"VLD001.A0102.SG1.2_5M_under50bp"	"VLD001.A0102_5M_under50bp"	"VLD001_5M_under50bp"	"VLD001"	"Single"	"PE"	"none"	"under50bp"	3686595	37.5	47.93	"5M_under50bp"	"Good"
