# Constructed from biom file
#OTU ID	BAN001.A0101.SG1.1_5M	BAN001.A0102.SG1.4_5M	CDM019.A0101.SG1.1_5M	CDM019.A0102.SG1.4_5M	CDM020.A0101.SG1.1_5M	CDM020.A0102.SG1.4_5M	ERR1883418	ERR1883419	ERR1883420	ERR1883421	ERR1883422	ERR1883423	ERR1883424	ERR1883429	ERR1883435	ERR1883437	FUM002.A0101.SG1.1_5M	FUM002.A0102.SG1.5_5M	FUM003.A0101.SG1.1_5M	FUM003.A0102.SG1.4_5M	GDN001.A0101.SG1.1_5M	GDN001.A0102.SG1.3_5M	GOY005.A0101.SG1.2_5M	GOY005.A0103.SG1.4_5M	GOY006.A0101.SG1.2_5M	GOY006.A0102.SG1.5_5M	JAE006.A0101	JAE007.A0101	JAE008.A0101	JAE009.A0101	JAE010.A0101	JAE012.A0101	JAE013.A0101	JAE014.A0101	JAE015.A0101	JAE016.A0101	PES001.B0101.SG1.3_5M	PES001.B0102.SG1.5_5M	SRR1631060	SRR1631061	SRR1631063	SRR1631064	SRR1633008	SRR1761664	SRR1761665	SRR1761666	SRR1761667	SRR1761668	SRR1761669	SRR1761670	SRR1761671	SRR1761672	SRR1761673	SRR3184100	SRR3184876	SRR3189411	SRR3189416	SRR3189418	SRS013950	SRS014107	SRS014477	SRS014691	SRS015064	SRS019029	SRS019129	SRS051244	SRS051378	SRS051930	SRS051941	SRS052604	SRS052876	SRS053584	SRS053630	SRS053917	SRS054653	SRS063215	VLC001.A0101	VLC002.A0101	VLC003.A0101	VLC004.A0101	VLC005.A0101	VLC008.A0101	VLC009.A0101	VLC010.A0101	VLD001.A0101.SG1.1_5M	VLD001.A0102.SG1.2_5M
Acinetobacter sp001612555	3	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	4	7	0	0	0	0	0	0	0	0	0	0	327	631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	25
Acinetobacter sp001696615	2	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	2	2	0	0	1	1	7	8	0	0	0	0	0	0	0	0	0	0	89	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	226	202
Acinetobacter sp002135205	14	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	14	5	2	1	12	4	39	43	0	0	0	0	0	0	0	0	0	0	2118	2461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3344	2240
Acinetobacter sp002135245	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	0	0	3	1	3	11	0	0	0	0	0	0	0	0	0	0	322	520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	77
Acinetobacter sp002165305	36	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4	14	18	16	0	44	14	136	101	7	7	1	0	0	0	1	0	0	0	5434	6232	1174	1260	1425	1272	43625	0	1	0	0	0	0	0	0	0	0	200	763	16265	14952	13421	1	0	3	5	4	3	0	0	0	0	5	0	1	1	22	0	0	0	0	0	0	0	1	0	0	0	7027	4184
Acinetobacter sp004331285	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	6	0	9	17	0	0	0	0	0	0	0	0	0	0	961	1287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	22
Acinetobacter sp013072695	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	2	2	9	5	0	0	0	0	0	0	0	0	0	0	362	705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	34
Acinetobacter ursingii	4	9	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	8	38	30	4	6	26	10	24	17	5	3	0	0	0	0	0	0	1	0	6728	7816	2653	2566	2836	2925	126284	0	0	0	0	0	0	0	0	0	0	17009	1488	10387	9425	8553	1	10	0	0	0	3	60	0	1	1	2	3	0	4	3	5	0	0	0	0	0	0	3	0	0	0	158	143
Acinetobacter variabilis	10	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	8	11	2	3	118	38	14	13	0	0	0	0	0	0	0	0	0	0	155	197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	34
Actinomyces bovis	1	0	83	40	96	64	0	0	0	0	0	0	0	0	0	0	207	137	38	29	393	141	51	30	121	62	0	0	0	0	0	0	0	0	0	0	183	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	38
Actinomyces bowdenii	0	1	364	236	182	79	0	0	0	0	0	0	0	0	0	0	780	462	94	46	1932	658	118	50	516	267	0	0	0	0	0	0	0	0	0	0	472	246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	211	94
Actinomyces bowdenii B	0	0	156	52	178	85	0	0	0	0	0	0	0	0	0	0	816	422	89	43	1478	305	169	69	373	168	0	0	0	0	0	0	0	0	0	0	590	313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	231	106
