Species	BAN001.A0101.SG1.1_5M	BAN001.A0102.SG1.4_5M	CDM019.A0101.SG1.1_5M	CDM019.A0102.SG1.4_5M	CDM020.A0101.SG1.1_5M	CDM020.A0102.SG1.4_5M	FUM002.A0101.SG1.1_5M	FUM002.A0102.SG1.5_5M	FUM003.A0101.SG1.1_5M	FUM003.A0102.SG1.4_5M	GDN001.A0101.SG1.1_5M	GDN001.A0102.SG1.3_5M	GOY005.A0101.SG1.2_5M	GOY005.A0103.SG1.4_5M	GOY006.A0101.SG1.2_5M	GOY006.A0102.SG1.5_5M	PES001.B0101.SG1.3_5M	PES001.B0102.SG1.5_5M	VLD001.A0101.SG1.1_5M	VLD001.A0102.SG1.2_5M
Arachnia rubra	0	0	633	310	1518	784	223	181	58	20	150	59	279	184	421	169	1252	666	40	16
Arachnia sp013333945	0	0	2044	975	13131	6864	3854	3175	1054	896	395	171	3264	1587	3513	1607	11344	5879	168	107
Arachnia sp900607225	0	0	4233	1912	12825	6350	1850	1360	257	185	937	283	2457	1193	3043	1276	10688	5431	383	199
Arachnia sp905372155	0	0	20001	8654	35533	16651	5038	3595	487	352	1855	611	3725	1799	4382	1945	17169	8692	2196	1124
Arenimonas maotaiensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	544	192
Aureimonas A endophytica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2371	2420	0	0	0	0
Azonexus agitatus	0	0	0	0	0	0	0	0	12500	10258	0	0	0	0	0	0	0	0	0	0
Azonexus aromaticus	0	0	0	0	0	0	0	0	2293	2041	0	0	11	0	0	0	0	0	0	0
Azonexus denitrificans	0	0	0	0	0	0	0	0	874	757	0	0	0	0	0	0	0	0	0	0
Azonexus fungiphilus	0	0	0	0	0	0	0	0	477	473	0	0	0	0	0	0	0	0	0	0
Azonexus hortensis	0	0	0	0	0	0	12	13	1917	1666	0	0	0	0	60	47	0	0	0	0
Azonexus hydrophilus	0	0	0	0	0	0	0	0	896	851	0	0	0	0	0	0	0	0	0	0
Azonexus sp002345845	0	0	0	0	0	0	0	0	1241	1002	0	0	0	0	0	0	0	0	0	0
Azonexus sp002425245	0	0	0	0	0	0	0	0	626	541	0	0	0	0	0	0	0	0	0	0
Azonexus sp002440665	0	0	0	0	0	0	0	0	822	710	0	0	0	0	0	0	0	0	0	0
Azonexus sp002470165	0	0	0	0	0	0	0	0	2986	2586	0	0	0	0	0	0	0	0	0	0
Azonexus sp002840765	0	0	0	0	0	0	0	0	1044	960	0	0	0	0	0	0	0	0	0	0
