Species,BAN001.A0101.SG1.1_5M,BAN001.A0102.SG1.4_5M,CDM019.A0101.SG1.1_5M,CDM019.A0102.SG1.4_5M,CDM020.A0101.SG1.1_5M,CDM020.A0102.SG1.4_5M,FUM002.A0101.SG1.1_5M,FUM002.A0102.SG1.5_5M,FUM003.A0101.SG1.1_5M,FUM003.A0102.SG1.4_5M,GDN001.A0101.SG1.1_5M,GDN001.A0102.SG1.3_5M,GOY005.A0101.SG1.2_5M,GOY005.A0103.SG1.4_5M,GOY006.A0101.SG1.2_5M,GOY006.A0102.SG1.5_5M,PES001.B0101.SG1.3_5M,PES001.B0102.SG1.5_5M,VLD001.A0101.SG1.1_5M,VLD001.A0102.SG1.2_5M
Aggregatibacter kilianii,0,0,26,22,947,1257,154,242,1457,1943,0,0,15344,15093,876,1067,279,439,0,0
Aggregatibacter segnis,0,0,29,45,579,697,75,132,158,204,0,0,2095,1954,394,447,92,131,0,0
Aggregatibacter sp000466335,0,0,0,20,192,201,10,26,74,74,0,0,745,628,102,132,22,41,0,0
Anaerosphaera mikwangii,0,0,145,350,41,142,84,173,0,0,22,54,21,30,52,94,83,220,22,31
Arachnia propionica,0,0,40552,17602,52907,25183,3761,2690,701,479,5188,1753,6073,2807,7925,3552,33983,16870,714,426
Arachnia rubra,0,0,633,310,1518,784,223,181,58,20,150,59,279,184,421,169,1252,666,40,16
Arachnia sp013333945,0,0,2044,975,13131,6864,3854,3175,1054,896,395,171,3264,1587,3513,1607,11344,5879,168,107
Arachnia sp905372155,0,0,20001,8654,35533,16651,5038,3595,487,352,1855,611,3725,1799,4382,1945,17169,8692,2196,1124
Bacteroides heparinolyticus,0,0,953,1109,830,980,0,0,0,0,0,0,0,13,0,12,0,0,0,0
Brooklawnia sp000413315,0,0,5993,3448,21021,12411,31105,16433,24033,13529,199,49,15031,3627,16889,5320,1474,844,1355,528
Bulleidia moorei,0,0,379,843,158,345,120,202,12,19,0,0,15,16,26,46,10,12,0,0
CAJPNN01 sp905372035,0,0,3544,8032,1183,2341,55,118,0,0,692,1444,69,81,378,567,588,1102,27,41
CAJPPJ01 sp905372515,0,0,0,46,149,704,0,49,84,275,0,0,22,47,41,117,0,0,0,0
CAJPQU01 sp905372875,0,0,3082,2578,764,655,10,12,0,0,112,75,29,13,279,143,838,814,88,65
CAJPQU01 sp905373705,0,0,1157,1031,469,387,13,10,0,0,51,93,24,23,78,64,119,115,92,41
CAJPSE01 sp003860125,0,0,18088,10547,5675,3682,696,600,23,13,6348,3794,454,243,1360,1012,4235,3541,261,199
CAJPSE01 sp905373185,0,0,69226,36350,23754,13710,218,166,0,0,1502,1119,615,325,1377,919,2394,2104,155,129
Campylobacter A rectus,0,0,2381,2926,1719,2115,35,66,18,17,26,63,239,203,236,237,66,99,11,23
Campylobacter A showae,0,0,1199,1397,4872,5507,226,377,71,103,0,10,1338,1201,1042,1122,249,334,28,33
Campylobacter A sp014253065,0,0,374,382,1666,1954,35,82,0,16,0,0,217,187,210,200,37,51,0,0
Campylobacter A sp905372745,0,0,186,199,897,988,34,48,0,19,0,0,128,131,112,116,29,29,0,0
Campylobacter B gracilis,0,0,937,964,686,792,22,29,0,0,16,19,334,228,297,237,101,134,95,58
Campylobacter B sp905373215,0,0,577,669,446,497,21,15,0,0,13,0,227,153,210,158,57,80,37,44
Campylobacter B sp905373295,0,0,592,615,454,469,12,15,0,0,14,10,260,182,247,194,57,71,61,45
Capnocytophaga bilenii,0,0,14,36,712,1243,0,0,0,15,0,0,70,120,49,103,0,19,0,0
Capnocytophaga endodontalis,0,0,208,379,1319,2418,16,34,20,28,0,0,585,907,288,494,94,193,0,0
Capnocytophaga gingivalis,0,0,72,129,1811,2912,34,63,69,100,0,0,484,698,365,634,82,164,12,0
Capnocytophaga granulosa,0,0,199,339,4987,7479,0,10,0,0,0,0,97,163,97,184,18,43,0,0
Capnocytophaga leadbetteri,0,0,88,187,1225,1954,28,70,34,61,0,0,495,765,174,300,45,74,11,0
Capnocytophaga ochracea,0,0,1102,2265,2602,4799,58,104,14,26,29,38,634,1034,369,669,271,608,37,71
Capnocytophaga sp000192225,0,0,68,95,187,400,0,10,14,11,0,0,65,110,39,71,18,43,0,0
Capnocytophaga sp000466425,0,0,24,50,772,1162,0,10,13,0,0,0,73,115,67,111,17,30,0,0
Capnocytophaga sp002999135,0,0,27,38,228,380,32,80,56,98,0,0,900,1440,213,368,33,73,0,0
Capnocytophaga sp905372595,0,0,0,0,351,595,0,14,15,18,0,0,80,140,37,87,13,22,0,0
Capnocytophaga sputigena,0,0,138,280,1855,3137,33,71,38,77,0,0,1087,1764,526,999,167,328,10,0
Cardiobacterium hominis,0,0,145,113,4615,3086,23,25,20,0,0,0,213,120,127,73,31,23,15,0
Cardiobacterium valvarum,0,0,973,636,14128,9673,453,344,194,140,58,35,2782,1302,1297,858,466,392,94,76
Catonella massiliensis,0,0,99,249,80,190,0,43,0,0,0,0,16,16,24,25,14,33,25,40
Catonella morbi,0,0,1213,2811,2550,4900,34,93,0,0,17,27,129,216,120,191,35,95,33,41
Centipeda infelix,0,0,650,499,516,388,0,0,0,0,0,0,13,10,22,13,12,20,0,0
Centipeda noxia,0,0,1301,1097,1702,1415,12,13,0,0,0,0,24,11,51,37,69,87,45,46
Centipeda periodontii,0,0,1222,920,660,546,0,0,0,0,0,0,14,0,0,11,11,0,0,0
Centipeda sp000286455,0,0,201,182,147,130,0,0,0,0,0,0,0,0,13,0,0,0,0,0
Centipeda sp000468035,0,0,1030,895,2837,2277,0,0,0,0,0,0,27,14,50,37,30,36,18,12
Centipeda sp001683335,0,0,556,402,196,181,0,0,0,0,0,0,11,0,13,0,0,12,0,0
Centipeda sp001717585,0,0,1786,1404,482,394,0,0,0,0,0,0,10,0,12,15,13,19,0,0
Centipeda sp905372865,0,0,345,278,1129,818,0,0,0,0,0,0,13,0,11,0,0,0,0,0
Corynebacterium durum,12,16,0,0,200,212,470,265,93,45,10,0,871,502,3800,1514,2069,1156,30,11
