number_of_duplications	unique_reads	Sequencing_ID	read_type	Strandedness	Library_ID
22	2	BAN001.A0102.SG1.4_5M	merged	Single	BAN001.A0102_5M
23	2	BAN001.A0102.SG1.4_5M	merged	Single	BAN001.A0102_5M
24	2	BAN001.A0102.SG1.4_5M	merged	Single	BAN001.A0102_5M
25	2	BAN001.A0102.SG1.4_5M	merged	Single	BAN001.A0102_5M
26	1	BAN001.A0102.SG1.4_5M	merged	Single	BAN001.A0102_5M
27	1	BAN001.A0102.SG1.4_5M	merged	Single	BAN001.A0102_5M
28	1	BAN001.A0102.SG1.4_5M	merged	Single	BAN001.A0102_5M
29	2	BAN001.A0102.SG1.4_5M	merged	Single	BAN001.A0102_5M
30	3	BAN001.A0102.SG1.4_5M	merged	Single	BAN001.A0102_5M
40	1	BAN001.A0102.SG1.4_5M	merged	Single	BAN001.A0102_5M
44	1	BAN001.A0102.SG1.4_5M	merged	Single	BAN001.A0102_5M
54	1	BAN001.A0102.SG1.4_5M	merged	Single	BAN001.A0102_5M
58	1	BAN001.A0102.SG1.4_5M	merged	Single	BAN001.A0102_5M
60	1	BAN001.A0102.SG1.4_5M	merged	Single	BAN001.A0102_5M
1	1794374	CDM019.A0101.SG1.1_5M	merged	Double	CDM019.A0101_5M
2	13250	CDM019.A0101.SG1.1_5M	merged	Double	CDM019.A0101_5M
3	56	CDM019.A0101.SG1.1_5M	merged	Double	CDM019.A0101_5M
1	1321429	CDM019.A0102.SG1.4_5M	merged	Single	CDM019.A0102_5M
2	8483	CDM019.A0102.SG1.4_5M	merged	Single	CDM019.A0102_5M
3	31	CDM019.A0102.SG1.4_5M	merged	Single	CDM019.A0102_5M
1	1684298	CDM020.A0101.SG1.1_5M	merged	Double	CDM020.A0101_5M
2	14628	CDM020.A0101.SG1.1_5M	merged	Double	CDM020.A0101_5M
3	87	CDM020.A0101.SG1.1_5M	merged	Double	CDM020.A0101_5M
1	1355095	CDM020.A0102.SG1.4_5M	merged	Single	CDM020.A0102_5M
2	7770	CDM020.A0102.SG1.4_5M	merged	Single	CDM020.A0102_5M
3	16	CDM020.A0102.SG1.4_5M	merged	Single	CDM020.A0102_5M
1	1022407	FUM002.A0101.SG1.1_5M	merged	Double	FUM002.A0101_5M
2	17767	FUM002.A0101.SG1.1_5M	merged	Double	FUM002.A0101_5M
3	289	FUM002.A0101.SG1.1_5M	merged	Double	FUM002.A0101_5M
4	8	FUM002.A0101.SG1.1_5M	merged	Double	FUM002.A0101_5M
1	652940	FUM002.A0102.SG1.5_5M	merged	Single	FUM002.A0102_5M
2	7796	FUM002.A0102.SG1.5_5M	merged	Single	FUM002.A0102_5M
3	58	FUM002.A0102.SG1.5_5M	merged	Single	FUM002.A0102_5M
5	1	FUM002.A0102.SG1.5_5M	merged	Single	FUM002.A0102_5M
1	1593428	FUM003.A0101.SG1.1_5M	merged	Double	FUM003.A0101_5M
2	102711	FUM003.A0101.SG1.1_5M	merged	Double	FUM003.A0101_5M
3	6366	FUM003.A0101.SG1.1_5M	merged	Double	FUM003.A0101_5M
4	401	FUM003.A0101.SG1.1_5M	merged	Double	FUM003.A0101_5M
5	31	FUM003.A0101.SG1.1_5M	merged	Double	FUM003.A0101_5M
1	1420752	FUM003.A0102.SG1.4_5M	merged	Single	FUM003.A0102_5M
2	32098	FUM003.A0102.SG1.4_5M	merged	Single	FUM003.A0102_5M
3	536	FUM003.A0102.SG1.4_5M	merged	Single	FUM003.A0102_5M
4	10	FUM003.A0102.SG1.4_5M	merged	Single	FUM003.A0102_5M
6	1	FUM003.A0102.SG1.4_5M	merged	Single	FUM003.A0102_5M
7	1	FUM003.A0102.SG1.4_5M	merged	Single	FUM003.A0102_5M
19	1	FUM003.A0102.SG1.4_5M	merged	Single	FUM003.A0102_5M
1	346659	GDN001.A0101.SG1.1_5M	merged	Double	GDN001.A0101_5M
2	172144	GDN001.A0101.SG1.1_5M	merged	Double	GDN001.A0101_5M
3	91697	GDN001.A0101.SG1.1_5M	merged	Double	GDN001.A0101_5M
4	43459	GDN001.A0101.SG1.1_5M	merged	Double	GDN001.A0101_5M
5	19037	GDN001.A0101.SG1.1_5M	merged	Double	GDN001.A0101_5M
6	7530	GDN001.A0101.SG1.1_5M	merged	Double	GDN001.A0101_5M
7	2832	GDN001.A0101.SG1.1_5M	merged	Double	GDN001.A0101_5M
8	919	GDN001.A0101.SG1.1_5M	merged	Double	GDN001.A0101_5M
9	324	GDN001.A0101.SG1.1_5M	merged	Double	GDN001.A0101_5M
10	101	GDN001.A0101.SG1.1_5M	merged	Double	GDN001.A0101_5M
11	25	GDN001.A0101.SG1.1_5M	merged	Double	GDN001.A0101_5M
12	6	GDN001.A0101.SG1.1_5M	merged	Double	GDN001.A0101_5M
17	1	GDN001.A0101.SG1.1_5M	merged	Double	GDN001.A0101_5M
1	545420	GDN001.A0102.SG1.3_5M	merged	Single	GDN001.A0102_5M
2	42391	GDN001.A0102.SG1.3_5M	merged	Single	GDN001.A0102_5M
3	3414	GDN001.A0102.SG1.3_5M	merged	Single	GDN001.A0102_5M
4	342	GDN001.A0102.SG1.3_5M	merged	Single	GDN001.A0102_5M
5	64	GDN001.A0102.SG1.3_5M	merged	Single	GDN001.A0102_5M
6	26	GDN001.A0102.SG1.3_5M	merged	Single	GDN001.A0102_5M
7	15	GDN001.A0102.SG1.3_5M	merged	Single	GDN001.A0102_5M
8	7	GDN001.A0102.SG1.3_5M	merged	Single	GDN001.A0102_5M
9	6	GDN001.A0102.SG1.3_5M	merged	Single	GDN001.A0102_5M
10	6	GDN001.A0102.SG1.3_5M	merged	Single	GDN001.A0102_5M
11	3	GDN001.A0102.SG1.3_5M	merged	Single	GDN001.A0102_5M
12	1	GDN001.A0102.SG1.3_5M	merged	Single	GDN001.A0102_5M
14	2	GDN001.A0102.SG1.3_5M	merged	Single	GDN001.A0102_5M
15	1	GDN001.A0102.SG1.3_5M	merged	Single	GDN001.A0102_5M
20	1	GDN001.A0102.SG1.3_5M	merged	Single	GDN001.A0102_5M
40	1	GDN001.A0102.SG1.3_5M	merged	Single	GDN001.A0102_5M
51	1	GDN001.A0102.SG1.3_5M	merged	Single	GDN001.A0102_5M
1	797119	GOY005.A0101.SG1.2_5M	merged	Double	GOY005.A0101_5M
2	7120	GOY005.A0101.SG1.2_5M	merged	Double	GOY005.A0101_5M
3	61	GOY005.A0101.SG1.2_5M	merged	Double	GOY005.A0101_5M
4	1	GOY005.A0101.SG1.2_5M	merged	Double	GOY005.A0101_5M
1	494939	GOY005.A0103.SG1.4_5M	merged	Single	GOY005.A0103_5M
2	5700	GOY005.A0103.SG1.4_5M	merged	Single	GOY005.A0103_5M
3	31	GOY005.A0103.SG1.4_5M	merged	Single	GOY005.A0103_5M
1	939596	GOY006.A0101.SG1.2_5M	merged	Double	GOY006.A0101_5M
2	4473	GOY006.A0101.SG1.2_5M	merged	Double	GOY006.A0101_5M
3	81	GOY006.A0101.SG1.2_5M	merged	Double	GOY006.A0101_5M
4	7	GOY006.A0101.SG1.2_5M	merged	Double	GOY006.A0101_5M
1	606609	GOY006.A0102.SG1.5_5M	merged	Single	GOY006.A0102_5M
2	7894	GOY006.A0102.SG1.5_5M	merged	Single	GOY006.A0102_5M
3	122	GOY006.A0102.SG1.5_5M	merged	Single	GOY006.A0102_5M
4	6	GOY006.A0102.SG1.5_5M	merged	Single	GOY006.A0102_5M
5	1	GOY006.A0102.SG1.5_5M	merged	Single	GOY006.A0102_5M
1	1519838	PES001.B0101.SG1.3_5M	merged	Double	PES001.B0101_5M
2	20442	PES001.B0101.SG1.3_5M	merged	Double	PES001.B0101_5M
3	239	PES001.B0101.SG1.3_5M	merged	Double	PES001.B0101_5M
4	4	PES001.B0101.SG1.3_5M	merged	Double	PES001.B0101_5M
1	1239300	PES001.B0102.SG1.5_5M	merged	Single	PES001.B0102_5M
2	11887	PES001.B0102.SG1.5_5M	merged	Single	PES001.B0102_5M
3	68	PES001.B0102.SG1.5_5M	merged	Single	PES001.B0102_5M
1	778793	VLD001.A0101.SG1.1_5M	merged	Double	VLD001.A0101_5M
2	70218	VLD001.A0101.SG1.1_5M	merged	Double	VLD001.A0101_5M
3	6467	VLD001.A0101.SG1.1_5M	merged	Double	VLD001.A0101_5M
4	620	VLD001.A0101.SG1.1_5M	merged	Double	VLD001.A0101_5M
5	53	VLD001.A0101.SG1.1_5M	merged	Double	VLD001.A0101_5M
6	7	VLD001.A0101.SG1.1_5M	merged	Double	VLD001.A0101_5M
8	1	VLD001.A0101.SG1.1_5M	merged	Double	VLD001.A0101_5M
9	1	VLD001.A0101.SG1.1_5M	merged	Double	VLD001.A0101_5M
11	1	VLD001.A0101.SG1.1_5M	merged	Double	VLD001.A0101_5M
1	452448	VLD001.A0102.SG1.2_5M	merged	Single	VLD001.A0102_5M
2	26671	VLD001.A0102.SG1.2_5M	merged	Single	VLD001.A0102_5M
3	1541	VLD001.A0102.SG1.2_5M	merged	Single	VLD001.A0102_5M
4	79	VLD001.A0102.SG1.2_5M	merged	Single	VLD001.A0102_5M
5	8	VLD001.A0102.SG1.2_5M	merged	Single	VLD001.A0102_5M
6	1	VLD001.A0102.SG1.2_5M	merged	Single	VLD001.A0102_5M
10	1	VLD001.A0102.SG1.2_5M	merged	Single	VLD001.A0102_5M
22	1	VLD001.A0102.SG1.2_5M	merged	Single	VLD001.A0102_5M
