gc_bin,counts_gc,Study
"(68,69]",848,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(69,70]",921,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(70,71]",627,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(71,72]",716,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(72,73]",566,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(73,74]",473,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(74,75]",430,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(75,76]",201,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(76,77]",256,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(77,78]",169,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(78,79]",143,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(79,80]",116,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(80,81]",69,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(81,82]",80,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(82,83]",50,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(83,84]",20,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(84,85]",22,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(85,86]",5,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(86,87]",6,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(87,88]",2,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(88,89]",1,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(90,91]",1,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(93,94]",1,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(95,96]",1,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(7,8]",1,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(11,12]",1,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(12,13]",5,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(13,14]",9,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(14,15]",19,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(15,16]",24,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(16,17]",52,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(17,18]",91,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(18,19]",124,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(19,20]",248,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(20,21]",269,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(21,22]",439,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(22,23]",591,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(23,24]",852,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(24,25]",1268,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(25,26]",1116,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(26,27]",1730,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(27,28]",2369,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(28,29]",2629,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(29,30]",3509,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(30,31]",3834,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(31,32]",4999,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(32,33]",5739,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(33,34]",6239,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(34,35]",8063,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(35,36]",9005,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(36,37]",10197,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(37,38]",11146,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(38,39]",13121,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(39,40]",17544,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(40,41]",14695,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(41,42]",17684,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(42,43]",20617,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(43,44]",24294,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(44,45]",25500,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(45,46]",24980,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(46,47]",30148,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
