"Species"	"Isolation_Source"
"2-01-FULL-47-10 sp001824325"	"other"
"2-01-FULL-47-10-A sp001820675"	"other"
"2-01-FULL-48-10 sp001817755"	"other"
"2-01-FULL-48-14 sp001822835"	"other"
"2-01-FULL-48-16 sp001823155"	"other"
"2-01-FULL-49-10 sp001771275"	"other"
"2-01-FULL-49-10 sp016936175"	"other"
"2-01-FULL-49-14 sp001816915"	"other"
"2-01-FULL-49-17 sp001795695"	"other"
"2-01-FULL-49-22 sp001788565"	"other"
"2-01-FULL-50-11 sp001777585"	"other"
"2-01-FULL-50-23 sp001774555"	"other"
"2-01-FULL-50-24 sp001804225"	"other"
"2-01-FULL-50-25 sp001822215"	"other"
"2-01-FULL-50-28 sp001816585"	"other"
"2-01-FULL-51-10 sp001823505"	"other"
"2-01-FULL-51-10 sp001823605"	"other"
"2-01-FULL-51-21 sp001781435"	"other"
"2-01-FULL-51-34 sp001820785"	"other"
"2-01-FULL-52-15 sp001818365"	"other"
"2-01-FULL-53-15 sp001772335"	"other"
"2-01-FULL-56-20 sp001818655"	"other"
"2-01-FULL-58-14 sp001824745"	"other"
"2-01-FULL-59-12 sp001800075"	"other"
"2-01-FULL-60-11 sp001799975"	"other"
"2-01-FULL-60-11 sp001800085"	"other"
"2-01-FULL-63-20 sp001791045"	"other"
"2-01-FULL-63-20 sp004297215"	"other"
"2-01-FULL-64-13 sp001800095"	"other"
"2-01-FULL-66-17 sp001803875"	"other"
"2-01-FULL-66-17 sp016201825"	"other"
"2-02-FULL-34-10 sp001821915"	"other"
"2-02-FULL-34-12 sp001784555"	"other"
"2-02-FULL-35-15 sp001784585"	"other"
"2-02-FULL-36-13 sp001777015"	"other"
"2-02-FULL-37-13 sp001782195"	"other"
"2-02-FULL-38-14 sp001772865"	"other"
"2-02-FULL-38-14-A sp001790855"	"other"
"2-02-FULL-38-15 sp001777055"	"other"
"2-02-FULL-38-15-A sp001797335"	"other"
"2-02-FULL-39-11 sp001779195"	"other"
"2-02-FULL-39-13 sp001783595"	"other"
"2-02-FULL-39-13 sp002782365"	"other"
"2-02-FULL-39-14 sp001779055"	"other"
"2-02-FULL-39-14 sp001779205"	"other"
"2-02-FULL-39-32 sp001800135"	"other"
"2-02-FULL-39-32 sp016180425"	"other"
"2-02-FULL-40-10 sp001779115"	"other"
"2-02-FULL-40-11 sp001798105"	"other"
"2-02-FULL-40-12 sp001824375"	"other"
"2-02-FULL-40-12 sp007376425"	"other"
"2-02-FULL-40-13 sp001779235"	"other"
"2-02-FULL-40-20 sp001818675"	"other"
"2-02-FULL-42-16 sp001818695"	"other"
"2-02-FULL-42-16 sp016192685"	"other"
"2-02-FULL-42-43 sp001801425"	"other"
"2-02-FULL-42-43 sp001801815"	"other"
"2-02-FULL-42-43 sp001802455"	"other"
"2-02-FULL-42-43 sp002793195"	"other"
"2-02-FULL-42-43 sp013287435"	"other"
"2-02-FULL-42-43 sp013287505"	"other"
"2-02-FULL-43-11 sp001820955"	"other"
"2-02-FULL-43-11-A sp001789515"	"other"
"2-02-FULL-43-11-A sp018062605"	"other"
"2-02-FULL-43-13 sp001819295"	"other"
"2-02-FULL-43-16 sp001821935"	"other"
"2-02-FULL-44-16 sp001798185"	"other"
"2-02-FULL-44-35 sp000999175"	"other"
"2-02-FULL-44-35 sp001822695"	"other"
"2-02-FULL-45-10 sp001783035"	"other"
"2-02-FULL-45-10 sp016234265"	"other"
"2-02-FULL-45-11 sp001817685"	"other"
"2-02-FULL-45-18 sp001774075"	"other"
"2-02-FULL-45-21 sp001805575"	"other"
"2-02-FULL-45-21 sp001805845"	"other"
"2-02-FULL-45-22 A sp002773795"	"other"
"2-02-FULL-45-22 sp001796285"	"other"
"2-02-FULL-46-11 sp001779955"	"other"
"2-02-FULL-46-13 sp001820875"	"other"
"2-02-FULL-46-13 sp001821015"	"other"
"2-02-FULL-46-19 sp001795795"	"other"
"2-02-FULL-47-12 sp001790455"	"other"
"2-02-FULL-47-50 sp001801885"	"other"
"2-02-FULL-48-11 sp001805615"	"other"
"2-02-FULL-48-11-A sp001818435"	"other"
"2-02-FULL-48-12 sp001819875"	"other"
"2-02-FULL-48-14 sp001787475"	"other"
"2-02-FULL-48-16 sp001821135"	"other"
"2-02-FULL-48-16 sp007376285"	"other"
"2-02-FULL-49-11 sp001791465"	"other"
"2-02-FULL-49-12 sp001796315"	"other"
"2-02-FULL-49-16 sp001788955"	"other"
"2-02-FULL-49-16 sp002772605"	"other"
"2-02-FULL-50-16 sp001798715"	"other"
"2-02-FULL-50-16-A sp001828605"	"other"
"2-02-FULL-50-19 sp001805885"	"other"
"2-02-FULL-50-19 sp003141835"	"other"
"2-02-FULL-50-19 sp903889135"	"other"
"2-02-FULL-50-9b sp001782975"	"other"
"2-02-FULL-50-9b sp903893485"	"other"
"2-02-FULL-51-10 sp001788965"	"other"
"2-02-FULL-51-18 sp001804125"	"other"
"2-02-FULL-52-10 sp001805655"	"other"
"2-02-FULL-52-10 sp016931055"	"other"
"2-02-FULL-52-16 sp001787535"	"other"
"2-02-FULL-52-23 sp001820655"	"other"
"2-02-FULL-53-10 sp001791035"	"other"
"2-02-FULL-55-14 sp001802945"	"other"
"2-02-FULL-56-15 sp001801825"	"other"
"2-02-FULL-56-15 sp004297165"	"other"
"2-02-FULL-56-16 sp001817495"	"other"
"2-02-FULL-58-16 sp001830425"	"other"
"2-02-FULL-61-13 sp001801865"	"other"
"2-02-FULL-61-13 sp016179185"	"other"
"2-02-FULL-61-28 sp001767035"	"other"
"2-02-FULL-62-14 sp001805245"	"other"
"2-02-FULL-62-14 sp009692155"	"other"
"2-02-FULL-62-17 sp001770355"	"other"
"2-02-FULL-62-17 sp903859155"	"other"
"2-02-FULL-62-17 sp903899705"	"other"
"2-02-FULL-63-19 sp001770415"	"other"
"2-02-FULL-63-19 sp001770425"	"other"
"2-02-FULL-66-14 sp001770475"	"other"
"2-02-FULL-66-14 sp001771975"	"other"
"2-02-FULL-66-14 sp002451175"	"other"
"2-02-FULL-66-14 sp004298295"	"other"
"2-02-FULL-66-22 sp001771285"	"other"
"2-02-FULL-66-22 sp016180655"	"other"
"2-02-FULL-66-22 sp016208645"	"other"
"2-02-FULL-66-22 sp016209725"	"other"
"2-02-FULL-66-22 sp016209735"	"other"
"2-02-FULL-67-20 sp001805695"	"other"
"2-02-FULL-67-20 sp016180575"	"other"
"2-02-FULL-67-57 sp001766965"	"other"
"2-02-FULL-67-57 sp016210855"	"other"
"2-12-FULL-35-11 sp001803185"	"other"
"2-12-FULL-35-15 sp001769385"	"other"
"2-12-FULL-35-15 sp003151815"	"other"
"2-12-FULL-35-15 sp005772895"	"other"
"2-12-FULL-35-15 sp016722565"	"other"
"2-12-FULL-35-15 sp903833025"	"other"
"2-12-FULL-35-15 sp903847205"	"other"
"2-12-FULL-35-15 sp903870175"	"other"
"2-12-FULL-35-15 sp903881065"	"other"
"2-12-FULL-35-15 sp903911435"	"other"
"2-12-FULL-35-15 sp903919535"	"other"
"2-12-FULL-35-15 sp903926385"	"other"
"2-12-FULL-35-23 sp001801465"	"other"
"2-12-FULL-36-22 sp001771315"	"other"
"2-12-FULL-36-22 sp018660415"	"other"
"2-12-FULL-37-11 sp001776865"	"other"
"2-12-FULL-37-12 sp001769655"	"other"
"2-12-FULL-37-14 sp001804735"	"other"
"2-12-FULL-37-34 sp001801495"	"other"
"2-12-FULL-37-7b sp001788095"	"other"
"2-12-FULL-38-22 sp001820055"	"other"
"2-12-FULL-39-13 sp001824485"	"other"
"2-12-FULL-40-10 sp001784725"	"other"
"2-12-FULL-40-12 sp001823315"	"other"
"2-12-FULL-40-28 sp001798135"	"other"
"2-12-FULL-41-12 sp001790445"	"other"
"2-12-FULL-41-13 sp001821615"	"other"
"2-12-FULL-41-16 sp001782805"	"other"
"2-12-FULL-41-17 sp001774945"	"other"
"2-12-FULL-41-20 sp001801575"	"other"
"2-12-FULL-42-10 sp001801625"	"other"
"2-12-FULL-42-15 sp001797285"	"other"
"2-12-FULL-43-11 sp001817805"	"other"
"2-12-FULL-43-12 sp001783065"	"other"
"2-12-FULL-43-12 sp016207245"	"other"
"2-12-FULL-43-12 sp016214105"	"other"
"2-12-FULL-43-28 sp001801635"	"other"
"2-12-FULL-44-17 sp001804285"	"other"
"2-12-FULL-44-25 sp001816455"	"other"
"2-12-FULL-45-10 sp001777995"	"other"
"2-12-FULL-45-10 sp002773575"	"other"
"2-12-FULL-45-12 sp001801665"	"other"
"2-12-FULL-45-22 sp001803565"	"other"
"2-12-FULL-48-17 sp001818775"	"other"
"2-12-FULL-49-11 sp001794905"	"other"
"2-12-FULL-50-11 sp001774395"	"other"
"2-12-FULL-50-11-A sp001804315"	"other"
"2-12-FULL-52-36 sp001828545"	"other"
"2-12-FULL-52-36 sp016209685"	"other"
"2-12-FULL-53-21 sp001775255"	"other"
"2-12-FULL-53-21 sp902826595"	"other"
"2-12-FULL-54-10 sp001767075"	"other"
