Species	BAN001.A0101.SG1.1	BAN001.A0102.SG1.4	CDM019.A0101.SG1.1	CDM019.A0102.SG1.4	CDM020.A0101.SG1.1	CDM020.A0102.SG1.4	FUM001.A0101.SG1.1	FUM001.A0102.SG1.4	FUM002.A0101.SG1.1	FUM002.A0102.SG1.5	FUM003.A0101.SG1.1	FUM003.A0102.SG1.4	GDN001.A0101.SG1.1	GDN001.A0102.SG1.3	GOY005.A0101.SG1.2	GOY005.A0103.SG1.4	GOY006.A0101.SG1.2	GOY006.A0102.SG1.5	GUE001.A0101.SG1.1	GUE001.A0102.SG1.4	PES001.B0101.SG1.3	PES001.B0102.SG1.5	SPM002.A0101.SG1.1	SPM002.A0103.SG1.4	VLD001.A0101.SG1.1	VLD001.A0102.SG1.2	ZAF001.A0101.SG1.1	ZAF001.A0103.SG1.4
Acinetobacter lwoffii	51	99	0	0	0	0	65	21	8	8	50	17	8	2	1016	102	173	51	3	1	1801	599	82	34	155	128	85	65
Acinetobacter lwoffii D	63	119	0	0	0	0	78	25	8	8	31	28	0	1	756	78	140	44	10	0	6764	3196	88	37	81	54	87	57
Acinetobacter lwoffii E	58	86	0	0	0	0	30	14	4	4	32	26	7	5	903	89	149	40	2	1	925	248	65	25	67	31	49	27
Acinetobacter parvus	9	10	0	0	1	0	182	36	5	2	58	36	17	3	169	23	12890	3289	4	0	1181	490	275	121	93	70	96	73
Acinetobacter pseudolwoffii	19	35	0	0	1	0	21	13	0	2	16	11	2	3	294	33	357	666	2	0	1479	549	51	15	1729	1108	92	85
Acinetobacter schindleri	17	31	1	0	1	0	214	33	0	4	34	13	0	7	986	109	182	71	9	5	1350	474	50	39	77	66	221	128
Acinetobacter seifertii	11	47	0	0	0	1	176	65	7	12	23	14	13	25	26	0	14	7	122	43	1441	451	89	70	46	59	74	97
Acinetobacter sp000214135	9	14	0	1	0	2	51	8	3	1	5	5	9	3	66	11	54	13	13	2	1958	822	14	19	287	214	40	33
Acinetobacter sp000369525	1	2	0	1	0	0	4	0	0	1	5	4	0	1	25	1	49	13	0	0	1149	412	11	4	822	563	6	6
Acinetobacter sp001612555	6	43	0	0	0	1	0	0	0	0	0	0	0	0	19	5	19	14	0	0	3531	1965	5	0	55	44	10	5
Acinetobacter sp002135205	32	35	0	0	0	1	101	24	9	11	40	13	7	1	169	17	286	105	2	0	24389	7613	134	61	6027	3707	268	139
Acinetobacter sp002135245	1	6	2	2	0	0	24	8	1	4	3	5	0	1	21	4	37	27	0	1	3765	1597	28	12	99	127	30	14
Acinetobacter sp002165255	13	23	0	0	0	0	5	1	3	0	4	2	0	0	37	7	938	268	13	0	896	253	9	2	174	104	17	14
Acinetobacter sp002165305	68	113	0	0	0	1	255	51	15	17	52	33	46	2	346	34	876	260	21	3	62345	19242	342	121	12534	7149	704	380
Acinetobacter sp002296655	4	9	0	0	0	1	294	69	9	8	99	52	17	1	78	5	58	26	3	1	1839	648	42	12	134	108	85	35
Acinetobacter sp004331285	1	1	1	1	0	2	0	1	2	1	5	1	0	0	26	2	59	42	0	0	10950	3743	2	2	17	37	2	3
Acinetobacter sp013072695	0	2	0	0	0	0	8	3	1	1	5	3	0	0	13	2	59	21	0	0	4373	2087	10	5	66	58	3	5
Acinetobacter sp900625095	4	7	0	1	0	1	24	2	1	1	3	1	0	2	23	3	80	30	1	0	1949	781	4	5	40	24	8	4
Acinetobacter ursingii	5	15	0	0	2	0	242	66	5	8	92	49	12	8	179	19	130	35	56	24	74495	23890	68	30	282	237	231	160
Acinetobacter variabilis	20	32	0	0	0	0	17	8	5	3	22	18	6	3	1083	103	66	33	7	0	1661	638	22	17	87	61	78	38
Actinomyces bovis	1	0	193	239	194	343	152	21	791	368	102	50	1160	204	532	79	826	148	0	0	2094	364	0	1	146	57	2	0
Actinomyces bowdenii	0	1	842	1150	324	417	822	65	2648	1195	270	82	5933	1060	1150	128	3722	679	11	0	5186	770	0	1	372	173	6	5
Actinomyces bowdenii B	1	0	339	301	340	422	584	56	2761	1105	277	74	4275	498	1354	142	2624	384	2	0	6472	924	8	0	430	178	6	2
Actinomyces dentalis	5	2	280845	215186	160174	172703	27400	2954	15796	6071	1629	422	227651	27634	14730	1466	64581	8737	20	2	421215	48255	35	8	73514	28030	1149	213
Actinomyces denticolens	0	0	242	228	222	299	342	20	860	380	208	61	2783	310	763	73	1462	197	0	0	3303	505	0	0	227	115	18	1
Actinomyces gaoshouyii	0	0	150	127	191	270	187	16	781	337	106	50	2189	313	567	61	1094	163	1	0	2842	483	0	0	241	86	5	1
Actinomyces gerencseriae	0	2	15395	12360	12049	13625	41672	3383	6342	2583	1911	486	22015	2717	16482	1415	26416	2986	8	2	82395	11936	91	4	153185	45548	4450	1171
Actinomyces glycerinitolerans	0	0	151	156	142	181	83	7	312	130	39	16	775	121	234	19	422	62	0	0	1006	174	0	0	82	37	1	0
Actinomyces graevenitzii	4	1	36	52	35	61	103	25	187	93	98	35	303	43	365	34	365	67	22	4	531	105	39	6	68	27	121	18
Actinomyces haliotis	1	0	198	207	357	461	212	28	896	344	126	33	4023	521	802	90	1761	243	2	0	4038	666	0	0	284	141	6	1
Actinomyces howellii	0	1	603	572	822	1086	600	62	4168	1704	280	97	46815	5841	2252	242	16312	2329	0	1	46808	6516	0	0	2351	1082	8	2
Actinomyces israelii	2	1	1965	1696	1344	1718	1520	142	2096	841	304	110	10236	1267	1572	150	4202	617	75	8	12037	1862	117	7	3603	1281	158	38
Actinomyces johnsonii	2	3	3244	3279	10633	12983	39881	4152	76288	31135	23586	7290	2927	387	49447	5229	29355	4360	5	0	116892	15404	15	4	6831	2901	347	113
Actinomyces lilanjuaniae	0	1	135	149	154	235	163	17	904	418	124	43	2149	338	505	69	1312	256	0	0	2645	430	0	0	198	81	1	1
Actinomyces marmotae	0	0	224	230	287	368	140	13	993	430	93	32	1660	201	742	69	992	175	2	0	2463	404	0	0	178	82	3	0
Actinomyces massiliensis	0	1	1182	1116	851	1148	2396	221	2964	1198	588	173	5291	701	2547	275	3808	532	65	4	10754	1608	232	23	4957	1642	262	57
Actinomyces naeslundii	2	1	2868	2600	15474	18929	55001	5489	65323	25902	9091	2509	2424	325	98099	9118	34791	5147	29	1	120424	15186	130	15	3532	1516	565	211
Actinomyces oricola	0	2	444	515	534	721	355	58	2771	1227	274	92	21935	2855	1482	189	7446	1154	6	0	21935	3012	0	2	1268	579	11	1
Actinomyces oris	8	7	2288	2086	1302	1691	4377	494	27611	11401	3375	954	1193	178	10967	1155	12646	1911	94	11	51267	6881	317	57	965	370	827	115
Actinomyces oris A	9	5	1050	944	914	1247	2874	270	20903	8621	2567	752	1046	145	8596	991	9488	1541	65	3	34209	4731	158	26	454	170	1416	177
Actinomyces oris B	2	0	4541	4019	4815	6031	5712	660	78322	32450	4820	1534	10497	1311	15753	1775	20961	3277	17	0	115293	15218	36	6	2744	1158	154	52
Actinomyces oris C	3	4	752	671	1092	1474	4711	464	31000	12825	3028	957	2030	273	11194	1184	12882	1858	24	7	49538	6774	132	16	968	488	285	55
Actinomyces oris D	2	1	464	428	3133	3863	5753	619	27174	10988	3969	1166	1729	197	19559	2050	19210	2790	23	1	122816	15468	20	4	849	340	172	50
Actinomyces oris E	9	5	463	448	1617	2080	4283	465	24466	9896	3667	1043	1675	206	12395	1309	13623	2036	16	0	51133	6941	45	11	763	300	202	39
Actinomyces procaprae	0	0	225	253	253	352	188	23	798	324	111	34	3365	451	569	75	1443	233	5	1	3627	587	0	0	262	135	3	2
Actinomyces qiguomingii	0	0	313	410	382	513	239	30	1017	445	128	41	3237	441	623	71	1454	251	0	0	3803	638	0	0	382	158	2	1
Actinomyces radicidentis	0	0	288	311	587	680	297	43	1293	560	163	58	5679	679	1433	161	2948	473	0	0	5898	941	0	1	406	184	16	2
Actinomyces ruminicola	0	0	310	290	316	374	214	28	763	355	115	31	3331	488	545	58	1460	213	0	0	3724	624	0	0	327	140	10	0
Actinomyces slackii	1	1	389	359	470	565	500	69	2494	1030	289	84	6888	916	1414	147	3284	553	0	0	8186	1291	3	0	550	256	10	4
Actinomyces sp000195595	10	3	463	458	1772	2283	8518	804	39999	15908	5399	1490	2104	328	22452	2331	20458	3073	7	2	50599	6950	30	7	1397	562	187	65
Actinomyces sp000220835	1	1	1150	1098	797	1068	1622	134	2148	971	1173	359	5437	738	1746	186	2849	472	121	16	7499	1121	173	19	2060	734	257	50
Actinomyces sp001278845	7	2	161219	135414	74073	83744	14203	1637	10498	4243	1047	335	120797	14606	9623	891	38601	5468	1	0	247252	28959	26	3	47741	18208	400	80
Actinomyces sp002154335	0	0	239	280	282	375	239	13	863	409	126	36	2393	347	578	68	1166	149	4	0	2792	484	0	0	233	103	4	1
Actinomyces sp002999235	2	0	1556	1285	1137	1511	739	68	1844	752	357	91	6505	950	1342	132	3267	475	0	0	9239	1382	0	1	1344	542	108	17
Actinomyces sp009930875	0	1	258	269	234	355	188	23	1012	423	108	47	2784	415	643	65	1432	257	0	0	3292	585	0	0	296	127	0	2
Actinomyces sp011751985	0	0	2244	1952	9307	9946	2157	236	10911	4525	1436	476	13336	1733	13078	1379	14126	2196	4	1	46816	6005	0	0	767	372	24	11
Actinomyces sp011752065	0	0	401	323	964	1262	5765	537	23358	9109	3234	912	1935	233	11993	1170	11391	1682	2	0	28533	4010	10	2	1383	587	25	18
Actinomyces sp013185035	1	0	391	403	511	742	284	32	1322	558	202	57	5048	593	1033	114	2219	340	0	0	5873	923	0	0	396	161	10	4
Actinomyces sp015711475	0	0	185	191	371	542	338	37	1085	507	212	49	2839	312	858	113	1296	200	9	3	3860	628	28	1	205	95	17	5
Actinomyces sp900323545	0	4	625	555	15132	16673	16978	1688	388992	147678	32918	9319	3954	557	175352	18232	240009	32817	17	2	549883	66094	22	5	2368	987	477	189
Actinomyces succiniciruminis	0	0	130	131	158	231	112	12	394	181	43	18	1203	154	296	36	542	90	2	0	1378	199	0	0	125	62	4	0
Actinomyces timonensis	1	2	362	360	427	563	423	54	2634	1394	348	106	3218	481	1382	186	2313	358	7	0	5787	891	6	1	482	211	639	67
Actinomyces urogenitalis	0	0	317	377	542	724	324	20	1364	594	180	53	4760	636	1141	114	2266	377	0	1	5727	911	0	1	371	191	7	5
Actinomyces viscosus	0	1	501	511	1096	1505	5182	592	25130	10235	3358	1048	1950	275	13753	1473	12607	1908	1	0	31527	4388	16	2	1352	489	67	16
Actinomyces weissii	1	1	215	244	319	457	196	24	999	372	228	93	3395	507	934	103	1719	316	0	0	4286	650	0	0	262	127	6	5
Actinomyces wuliandei	0	0	91	116	147	244	243	31	3297	1529	113	45	1757	232	648	78	1213	201	0	0	2606	456	3	0	210	98	10	2
Aerococcus sp002252085	1	7	0	5	0	2	13	0	0	2	1	0	0	0	20	4	4860	1736	0	0	4	7	0	0	0	1	16	13
Aerococcus urinaeequi	46	73	0	1	0	0	11	1	2	1	4	6	2	3	362	28	7713	2558	0	0	90	38	0	0	2	4	19	15
Aerococcus viridans	19	35	0	0	0	1	10	3	3	1	19	17	0	1	52	8	9239	3174	2	0	117	52	4	0	1	1	15	14
Aerococcus viridans C	18	21	0	0	0	0	10	3	0	3	10	10	18	1	60	6	3035	1015	0	0	38	28	8	0	3	4	22	17
Aeromonas caviae	13	9	1	3	1	3	397	28	17	3	144	38	17	4	11193	729	61	6	35	1	163	24	58	10	16	17	293	72
Afipia broomeae	8	10	1	1	0	5	104	14	6	2	17052	5747	27	12	9	1	5	2	28	3	35	24	33	32	6	9	50	35
Aggregatibacter aphrophilus	0	2	39	133	600	2130	68	22	317	464	2069	1543	0	1	68715	20160	5346	2468	0	0	2857	1351	0	0	6	8	42	15
Aggregatibacter kilianii	0	1	47	113	1809	6485	120	27	493	639	4446	3489	0	1	129508	37636	5937	2681	0	0	3020	1314	1	2	1	4	40	13
Aggregatibacter kilianii A	2	0	5	11	38	126	9	1	12	18	104	69	0	0	2616	771	277	131	1	0	147	55	0	0	1	1	5	0
Aggregatibacter segnis	1	0	36	145	575	2247	25	12	109	128	230	172	0	0	8423	2279	1227	496	2	0	392	180	0	2	0	1	9	3
Aggregatibacter segnis A	0	4	48	112	519	1856	16	13	113	179	258	221	0	0	9750	2628	1528	671	4	0	533	231	1	3	2	0	11	8
Aggregatibacter sp000466335	0	1	22	63	377	1060	18	10	55	69	233	150	2	1	6427	1674	739	302	4	0	306	146	0	3	5	4	21	9
Agrobacterium sp900013535	15	13	2	1	1	1	31	4	1	2	4	5	16	4	50	3	14	2	15	0	1	1	6	2	4437	1838	21	3
Aliidongia dinghuensis	3	1	4	1	2	3	54	14	5	2	11	10	10	1	13	0	11232	4249	23	1	18	0	1	4	1	2	138	65
Alishewanella agri	8	11	0	0	0	2	14	3	2	0	1	1	26	0	3119	255	30	8	4	0	1499	327	11	24	14	6	204	71
Anaerococcus urinomassiliensis	0	3	5	53	8	62	81	20	139	302	14	11	11	24	56	35	114	90	4	1	30	26	17	7	10	8	14671	7470
Anaerosphaera mikwangii	0	0	338	1671	94	657	16	12	263	460	12	10	55	88	169	74	437	233	0	0	917	638	0	0	34	59	1	1
Aquabacterium commune	42	19	3	3	1	2	7	3	8	3	4346	1618	19	5	55	8	28	4	0	0	24	6	0	1	47	63	1	0
Arachnia propionica	0	1	91460	83688	104007	136476	16022	2317	12353	6955	1998	879	15100	2696	50013	7098	55120	8661	2	0	372236	51165	4	3	1206	687	75	24
Arachnia propionica B	0	0	57	55	403	562	34	4	163	85	26	15	96	35	509	70	575	88	1	0	2312	350	1	1	22	11	3	1
Arachnia propionica C	0	0	100	85	301	559	45	8	159	87	34	12	56	12	502	65	514	94	0	0	2007	357	3	0	14	5	1	3
Arachnia rubra	3	2	1396	1395	2937	4394	413	60	755	477	157	53	411	99	2732	456	2609	448	15	2	14486	2199	35	5	63	24	235	52
Arachnia sp013333945	1	0	4521	4505	26256	37175	2286	367	13100	8467	3351	1631	1222	280	27290	3980	24433	3997	32	2	125996	17702	7	5	305	163	71	41
Arachnia sp900607225	0	0	9654	9176	25399	34791	3727	555	6399	3761	801	351	2807	450	20785	2940	20563	3190	10	1	118123	16427	40	6	659	344	61	19
Arachnia sp905372155	0	0	45094	41565	70516	91585	17704	2555	16770	9785	1431	615	5613	962	32629	4518	31306	4853	13	1	191854	26703	7	3	3872	1869	177	70
Aureimonas A endophytica	1	8	7	6	5	3	53	13	7	7	7	5	16	2	14	4	16455	6164	32	3	18	2	4	4	12	4	227	118
Azonexus agitatus	0	0	6	8	7	14	17	6	8	4	38512	19060	0	0	36	6	14	5	2	0	15	4	3	1	3	3	3	0
Azonexus aromaticus A	0	0	4	5	4	4	2	2	5	5	5197	2739	1	0	52	2	30	7	4	0	12	5	2	0	2	0	0	1
Azonexus aromaticus B	0	0	6	6	8	3	0	0	7	4	2014	1092	10	0	13	6	14	3	1	0	27	3	0	0	1	0	3	0
Azonexus denitrificans	0	0	4	7	9	4	0	1	2	4	2631	1390	0	0	20	2	20	1	3	0	7	2	0	0	0	0	1	1
Azonexus hortensis	2	1	3	4	3	9	24	17	29	27	5707	3151	0	0	14	2	470	117	0	1	11	2	0	1	2	1	18	15
Azonexus sp002345845	0	0	6	7	10	13	4	0	7	3	3807	1878	21	0	15	0	6	6	2	0	7	0	0	0	2	2	5	2
Azonexus sp002425245	0	0	3	4	2	7	0	1	6	0	1904	999	0	0	10	0	5	2	0	0	6	0	0	0	1	0	2	2
Azonexus sp002440665	0	0	6	1	4	9	5	0	5	4	2654	1304	0	0	16	2	8	1	0	0	3	2	4	0	0	0	4	2
Azonexus sp002470165	0	0	4	5	2	4	0	0	2	2	9264	4768	0	0	7	0	8	1	1	0	0	0	0	0	3	0	0	0
Azonexus sp002840765	3	0	3	4	3	14	0	0	5	0	3280	1775	0	0	17	3	16	3	1	0	15	3	0	0	4	0	1	0
Azonexus sp002842145	0	0	0	6	4	4	4	0	2	5	5458	2946	0	0	19	3	7	3	1	0	4	2	0	0	0	1	10	3
Azonexus sp003441615	0	0	0	13	4	4	5	1	2	4	1804	1081	1	0	16	3	7	1	1	0	8	3	0	0	1	0	2	1
Azonexus sp003583745	0	0	5	3	3	13	0	0	8	4	2985	1616	4	2	31	3	16	1	4	0	14	3	0	0	1	1	2	0
Azonexus sp004379165	0	0	4	4	2	6	0	3	3	2	3903	2048	0	1	46	5	18	4	8	0	13	3	0	0	1	0	5	0
Azonexus sp008711155	1	2	6	4	8	24	95	14	10	5	163537	73422	12	3	44	3	15	7	15	1	16	3	0	0	11	8	8	4
Azonexus sp009469585	0	0	10	4	6	3	11	0	11	3	4384	2209	7	1	9	2	4	3	3	0	3	1	4	0	4	4	0	1
Azonexus sp009469615	0	0	2	3	1	5	9	2	3	1	12590	6321	15	0	29	1	19	3	2	0	9	4	0	1	1	2	17	4
Azonexus sp013335535	0	0	6	11	4	4	1	1	2	5	3621	1901	0	0	23	1	13	3	0	0	7	0	0	0	1	2	9	7
Azonexus sp013363835	0	0	1	5	5	8	0	0	1	1	3247	1693	0	0	9	2	2	1	0	0	4	2	0	0	2	2	0	1
Azonexus sp016705475	0	1	5	4	7	8	0	3	4	7	2285	1182	0	0	17	3	19	3	0	0	6	0	4	0	0	3	2	3
Azonexus sp016709495	0	0	5	10	2	14	1	2	6	3	19796	10592	23	0	43	7	33	9	0	0	20	6	0	0	0	1	2	0
Azonexus sp016709965	0	0	4	3	3	11	3	3	6	5	7525	3885	0	0	20	1	10	1	0	1	9	2	0	0	1	1	5	1
Azonexus sp016790815	0	0	3	4	3	5	3	0	5	2	4845	2369	0	0	15	7	8	1	1	0	5	1	0	0	0	0	2	3
Azonexus sp016790885	2	1	5	5	5	2	16	1	12	7	10307	5179	0	1	24	3	15	5	0	0	2	1	0	0	4	2	2	1
Azonexus sp016791065	0	0	1	2	4	8	6	0	6	1	4288	2153	9	1	17	1	15	3	0	0	11	4	0	0	6	0	2	3
Azonexus sp016864195	0	0	3	6	5	5	9	0	2	4	2215	1299	7	2	17	3	16	1	0	0	8	4	0	0	3	3	2	0
Azonexus sp017983615	0	0	1	2	0	5	0	0	2	0	2990	1528	0	0	14	2	6	5	1	0	8	1	0	0	1	0	1	0
Azonexus sp018261895	1	0	2	1	3	6	9	0	5	4	2098	1242	0	0	15	8	8	1	2	0	4	3	0	0	1	0	4	2
Azonexus sp018261905	0	0	6	10	3	12	18	1	7	3	1996	1123	2	0	27	1	18	1	0	0	12	2	0	0	5	0	1	0
Azonexus sp018780195	0	0	2	9	4	4	9	3	5	1	3677	1757	3	0	21	4	16	0	0	0	6	2	0	0	3	0	133	77
Azonexus sp018828385	0	0	1	1	4	5	2	1	2	1	4715	2123	0	0	13	1	10	4	3	0	7	0	0	0	1	2	17	5
Azonexus sp903922075	0	0	1	3	5	5	1	2	3	3	4079	2272	0	1	13	0	5	1	0	0	1	0	0	0	0	0	5	3
Azonexus sp903930395	0	0	0	2	0	5	0	3	5	0	2424	1469	19	3	2	0	11	1	0	0	8	4	0	0	1	0	6	0
Azonexus sp907163225	0	1	8	14	3	12	5	2	9	3	2505	1370	0	1	48	4	29	4	0	0	6	4	1	0	0	2	17	5
Bacteroides heparinolyticus	0	0	2075	5207	1632	5244	0	3	13	22	0	0	10	4	93	26	59	34	0	0	37	24	0	0	3	4	4	4
Blastomonas delafieldii A	1	2	0	0	0	0	1195	167	0	0	28425	12787	23	12	6	1	2	0	1	2	4	0	8	1	2	2	10	3
Brachymonas denitrificans A	0	0	5	10	23	16	45	8	49	20	123	61	30	5	1394	123	627	99	8	0	224	33	0	0	8	5	33	10
Brachymonas sp017993135	1	0	11	23	24	61	73	17	94	48	278	133	67	12	3033	268	1505	259	0	1	562	91	0	0	21	11	0	0
Brachymonas sp017996515	0	0	83	95	110	184	641	103	761	390	2129	875	256	66	25898	2080	12658	2055	0	0	5149	778	0	2	57	13	3	2
Brachymonas sp018054915	0	0	6	9	19	46	127	15	121	85	336	167	42	4	4617	416	2264	375	0	0	778	147	0	0	8	6	3	3
Brachyspira hampsonii B	3	1	0	1	0	0	30	16	0	1	7	0	0	6	6	0	7591	2754	20	1	0	2	0	0	4	1	117	60
Bradyrhizobium sp001556045	42	19	5	6	3	2	135	19	8	3	5154	2237	33	26	7	6	3	1	15	3	21	19	29	20	2	9	52	23
Bradyrhizobium sp003020115	4	13	0	0	0	1	487	108	41	42	139	78	0	12	503	32	92	33	23	11	31	15	51	54	37	80	584	317
Brooklawnia sp000413315	2	0	13369	16094	41790	66757	5016	547	105880	44400	74229	25160	629	83	127924	9267	116564	13564	0	0	16195	2689	0	0	2408	876	689	238
Bulleidia moorei	0	3	768	4043	322	1842	77	16	413	552	32	36	1	12	106	38	200	126	0	0	61	45	2	3	6	11	44	20
Bulleidia sp016812035	0	0	241	1545	64	437	66	20	378	629	15	21	73	125	291	114	712	352	0	0	265	132	0	0	12	13	0	1
CAG-791 sp900625025	0	0	326	1097	197	771	10	2	70	104	4	2	84	60	32	14	88	53	0	0	312	95	0	0	26	20	2	0
CAJPNN01 sp905372035	0	1	8053	38281	2258	12720	173	98	172	348	7	11	2068	2247	577	202	2517	1509	4	0	6598	3360	0	0	46	79	2	0
CAJPPJ01 sp905372515	0	0	18	257	296	3744	8	7	31	133	268	514	0	9	187	154	265	288	0	0	17	12	0	0	2	5	0	3
CAJPQU01 sp905372875	0	1	6789	12209	1537	3561	861	189	37	27	0	3	297	114	306	42	1733	394	0	0	8988	2508	0	0	148	109	11	6
CAJPQU01 sp905373705	0	0	2750	4918	913	2071	116	24	44	25	2	0	185	143	220	51	547	183	0	0	1289	370	0	0	158	68	1	2
CAJPSE01 sp003860125	0	0	41032	50419	11259	19818	2816	536	2316	1545	66	26	18649	5985	3805	633	9500	2517	5	0	48111	10838	0	1	457	314	0	1
CAJPSE01 sp905373185	0	0	156458	173290	47631	74446	1151	237	687	421	25	12	4639	1758	5272	776	9562	2281	0	0	26383	6328	4	1	294	206	19	4
CSP1-1 sp001443365	1	2	0	7	0	3	128	55	59	133	634	662	0	0	0	1	31	19	235	169	3	0	0	1	3	7	1262	1008
Campylobacter A rectus	0	0	5365	14109	3490	11565	86	26	126	174	42	35	95	103	2014	499	1458	571	2	1	682	285	0	2	22	29	4	4
Campylobacter A showae	0	2	462	1177	1655	4943	104	23	160	211	50	47	0	2	2260	583	1555	586	0	0	552	201	0	0	7	9	4	2
Campylobacter A showae A	0	1	396	913	1341	3983	82	28	159	210	44	49	6	2	2523	674	1599	613	0	0	572	237	0	0	5	5	10	2
Campylobacter A showae B	2	0	483	1210	1672	5626	61	34	185	244	50	52	5	3	2892	758	1786	722	0	0	682	283	0	0	10	8	1	1
Campylobacter A showae D	0	0	732	1719	2940	9040	47	14	121	143	24	18	3	1	1623	417	1043	412	4	0	404	156	0	0	4	12	4	2
Campylobacter A showae E	0	0	584	1543	2040	6544	42	21	170	203	41	41	13	7	2196	597	1481	556	0	0	559	222	0	1	10	12	6	3
Campylobacter A sp014253065	0	0	819	1880	3285	10439	64	14	130	198	33	32	0	5	1874	487	1297	524	0	0	443	174	0	1	6	4	4	1
Campylobacter A sp905372745	1	2	443	1015	1836	5400	28	11	92	122	29	32	13	2	1294	347	825	319	0	0	304	101	1	1	3	8	3	0
Campylobacter B gracilis	0	0	1152	2675	771	2385	266	71	45	39	7	13	25	20	1641	335	1112	321	0	0	579	195	1	1	84	67	21	5
Campylobacter B gracilis A	0	0	922	2016	679	1965	169	63	26	38	10	3	11	18	1445	301	910	235	0	0	478	181	2	1	76	43	13	2
Campylobacter B sp900539505	1	1	1616	3490	1040	3052	400	100	76	78	21	9	50	18	2876	534	1809	522	0	0	747	307	1	0	116	129	10	5
Campylobacter B sp905373215	0	0	1346	3069	911	2700	410	63	54	55	11	11	25	8	2076	421	1416	415	2	0	629	232	0	0	68	79	17	6
Campylobacter B sp905373295	0	0	1295	2765	899	2475	411	83	54	51	17	10	30	21	2294	445	1549	446	0	0	704	242	0	0	115	81	16	4
Capnocytophaga bilenii	0	0	50	178	1481	6993	9	2	11	26	20	23	0	0	575	289	320	239	2	0	97	63	0	4	4	5	6	6
Capnocytophaga endodontalis	0	6	449	1833	2624	13122	78	29	68	112	70	56	4	6	4806	2195	1999	1330	2	0	1034	570	4	0	11	16	239	109
Capnocytophaga gingivalis	3	5	155	597	3564	15887	67	17	101	169	211	182	0	1	4068	1767	2433	1523	0	0	958	477	20	3	14	8	67	29
Capnocytophaga granulosa	1	3	440	1653	9825	41112	29	4	20	31	24	23	0	1	841	422	755	454	1	0	220	122	3	1	10	5	24	32
Capnocytophaga leadbetteri	11	4	193	846	2379	10613	83	28	121	181	118	122	5	1	4393	1886	1214	708	2	0	463	250	1	8	21	15	54	28
Capnocytophaga ochracea	1	3	2466	10825	5272	25809	188	106	173	294	42	43	62	62	5223	2668	2325	1601	0	0	3237	1953	0	2	68	123	80	42
Capnocytophaga sp000192225	0	1	150	564	354	2189	29	29	13	30	33	27	11	8	497	290	262	160	2	0	212	124	0	1	1	0	7	3
