Length,counts_length,Study
78,1150,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
79,1180,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
80,1082,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
81,980,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
82,930,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
83,902,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
84,922,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
85,774,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
86,788,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
87,753,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
88,635,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
89,668,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
90,616,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
91,596,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
92,641,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
93,562,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
94,567,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
95,539,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
96,496,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
97,470,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
98,471,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
99,413,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
100,446,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
101,434,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
102,365,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
103,405,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
104,356,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
105,344,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
106,318,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
107,349,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
108,278,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
109,247,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
110,292,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
111,288,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
112,281,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
113,256,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
114,237,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
115,214,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
116,233,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
117,211,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
118,220,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
