Species	BAN001.A0101.SG1.1	BAN001.A0102.SG1.4	CDM019.A0101.SG1.1	CDM019.A0102.SG1.4	CDM020.A0101.SG1.1	CDM020.A0102.SG1.4	FUM001.A0101.SG1.1	FUM001.A0102.SG1.4	FUM002.A0101.SG1.1	FUM002.A0102.SG1.5	FUM003.A0101.SG1.1	FUM003.A0102.SG1.4	GDN001.A0101.SG1.1	GDN001.A0102.SG1.3	GOY005.A0101.SG1.2	GOY005.A0103.SG1.4	GOY006.A0101.SG1.2	GOY006.A0102.SG1.5	GUE001.A0101.SG1.1	GUE001.A0102.SG1.4	PES001.B0101.SG1.3	PES001.B0102.SG1.5	SPM002.A0101.SG1.1	SPM002.A0103.SG1.4	VLD001.A0101.SG1.1	VLD001.A0102.SG1.2	ZAF001.A0101.SG1.1	ZAF001.A0103.SG1.4
Campylobacter B gracilis	0	0	2074	4691	1450	4350	435	134	71	77	17	16	36	38	3086	636	2022	556	0	0	1057	376	0	0	160	110	34	0
Campylobacter B sp905373215	0	0	1346	3069	911	2700	410	63	54	55	11	11	25	0	2076	421	1416	415	0	0	629	232	0	0	68	79	17	0
Campylobacter B sp905373295	0	0	1295	2765	899	2475	411	83	54	51	17	10	30	21	2294	445	1549	446	0	0	704	242	0	0	115	81	16	0
Capnocytophaga bilenii	0	0	50	178	1481	6993	0	0	11	26	20	23	0	0	575	289	320	239	0	0	97	63	0	0	0	0	0	0
Capnocytophaga endodontalis	0	0	449	1833	2624	13122	78	29	68	112	70	56	0	0	4806	2195	1999	1330	0	0	1034	570	0	0	11	16	239	109
Capnocytophaga gingivalis	0	0	155	597	3564	15887	67	17	101	169	211	182	0	0	4068	1767	2433	1523	0	0	958	477	20	0	14	0	67	29
Capnocytophaga granulosa	0	0	440	1653	9825	41112	29	0	20	31	24	23	0	0	841	422	755	454	0	0	220	122	0	0	10	0	24	32
Capnocytophaga leadbetteri	11	0	193	846	2379	10613	83	28	121	181	118	122	0	0	4393	1886	1214	708	0	0	463	250	0	0	21	15	54	28
Capnocytophaga ochracea	0	0	2466	10825	5272	25809	188	106	173	294	42	43	62	62	5223	2668	2325	1601	0	0	3237	1953	0	0	68	123	80	42
Capnocytophaga sp000192225	0	0	150	564	354	2189	29	29	13	30	33	27	11	0	497	290	262	160	0	0	212	124	0	0	0	0	0	0
Capnocytophaga sp000466425	0	0	53	202	1550	6586	0	0	17	19	34	21	0	0	629	285	511	293	0	0	166	93	0	0	0	0	10	0
Capnocytophaga sp002999135	0	0	60	207	417	2072	26	13	140	224	159	163	16	0	7543	3588	1484	935	0	0	422	227	0	0	0	0	0	0
Capnocytophaga sp905372595	0	0	0	41	670	3225	10	0	17	28	31	41	0	0	661	359	265	238	0	0	194	90	0	0	0	0	0	0
Capnocytophaga sputigena	0	13	311	1231	3591	17116	105	27	104	192	158	145	11	0	9734	4570	3849	2586	0	0	1735	964	0	0	13	11	133	54
Cardiobacterium hominis	0	0	323	508	9144	16604	60	16	82	58	65	23	0	10	1984	315	734	175	13	0	355	84	0	0	26	0	57	16
Cardiobacterium valvarum	0	0	2222	3145	27896	52026	520	92	1442	958	572	253	159	66	23829	3204	9207	2091	0	0	5522	1247	10	0	177	116	56	0
Catonella massiliensis	0	0	225	1191	156	996	0	0	33	93	0	0	12	15	126	43	147	82	0	0	147	89	0	0	41	60	10	0
Catonella morbi	0	0	2784	13322	5058	26736	59	33	134	257	12	13	42	46	1188	586	857	481	0	0	357	241	0	0	56	71	18	16
Centipeda infelix	0	0	1565	2468	1008	2183	24	0	23	15	0	0	0	0	108	20	126	36	0	0	134	48	0	0	11	0	0	0
Centipeda noxia	0	0	2958	5265	3347	7914	95	14	37	30	10	0	15	0	229	35	384	86	0	0	833	247	0	0	82	83	176	27
Centipeda periodontii	0	0	2733	4455	1325	2883	11	0	0	12	0	0	0	0	60	15	73	28	0	0	126	24	0	0	0	0	0	0
Centipeda sp000468035	0	0	2371	4194	5635	12273	56	14	25	23	0	0	0	0	190	30	369	110	0	0	346	94	0	0	24	19	0	0
