number_of_duplications	unique_reads	Sequencing_ID	read_type	Strandedness	Library_ID
3	120406	FUM003.A0101.SG1.1.gz	merged		
4	20173	FUM003.A0101.SG1.1.gz	merged		
5	3129	FUM003.A0101.SG1.1.gz	merged		
6	467	FUM003.A0101.SG1.1.gz	merged		
7	69	FUM003.A0101.SG1.1.gz	merged		
8	12	FUM003.A0101.SG1.1.gz	merged		
9	1	FUM003.A0101.SG1.1.gz	merged		
1	2547876	FUM003.A0102.SG1.4.gz	merged		
2	107465	FUM003.A0102.SG1.4.gz	merged		
3	3232	FUM003.A0102.SG1.4.gz	merged		
4	77	FUM003.A0102.SG1.4.gz	merged		
5	5	FUM003.A0102.SG1.4.gz	merged		
6	2	FUM003.A0102.SG1.4.gz	merged		
7	3	FUM003.A0102.SG1.4.gz	merged		
8	1	FUM003.A0102.SG1.4.gz	merged		
11	2	FUM003.A0102.SG1.4.gz	merged		
47	1	FUM003.A0102.SG1.4.gz	merged		
1	343687	GDN001.A0101.SG1.1.gz	merged		
2	137469	GDN001.A0101.SG1.1.gz	merged		
3	123577	GDN001.A0101.SG1.1.gz	merged		
4	109196	GDN001.A0101.SG1.1.gz	merged		
5	91171	GDN001.A0101.SG1.1.gz	merged		
6	72183	GDN001.A0101.SG1.1.gz	merged		
7	55504	GDN001.A0101.SG1.1.gz	merged		
8	40463	GDN001.A0101.SG1.1.gz	merged		
9	28326	GDN001.A0101.SG1.1.gz	merged		
10	19628	GDN001.A0101.SG1.1.gz	merged		
11	13387	GDN001.A0101.SG1.1.gz	merged		
12	8614	GDN001.A0101.SG1.1.gz	merged		
13	5384	GDN001.A0101.SG1.1.gz	merged		
14	3269	GDN001.A0101.SG1.1.gz	merged		
15	2008	GDN001.A0101.SG1.1.gz	merged		
16	1114	GDN001.A0101.SG1.1.gz	merged		
17	595	GDN001.A0101.SG1.1.gz	merged		
18	335	GDN001.A0101.SG1.1.gz	merged		
19	162	GDN001.A0101.SG1.1.gz	merged		
20	97	GDN001.A0101.SG1.1.gz	merged		
21	51	GDN001.A0101.SG1.1.gz	merged		
22	19	GDN001.A0101.SG1.1.gz	merged		
23	7	GDN001.A0101.SG1.1.gz	merged		
24	8	GDN001.A0101.SG1.1.gz	merged		
25	3	GDN001.A0101.SG1.1.gz	merged		
28	1	GDN001.A0101.SG1.1.gz	merged		
32	1	GDN001.A0101.SG1.1.gz	merged		
37	1	GDN001.A0101.SG1.1.gz	merged		
1	789206	GDN001.A0102.SG1.3.gz	merged		
2	92574	GDN001.A0102.SG1.3.gz	merged		
3	10641	GDN001.A0102.SG1.3.gz	merged		
4	1452	GDN001.A0102.SG1.3.gz	merged		
5	296	GDN001.A0102.SG1.3.gz	merged		
6	91	GDN001.A0102.SG1.3.gz	merged		
7	39	GDN001.A0102.SG1.3.gz	merged		
8	19	GDN001.A0102.SG1.3.gz	merged		
9	17	GDN001.A0102.SG1.3.gz	merged		
10	13	GDN001.A0102.SG1.3.gz	merged		
11	5	GDN001.A0102.SG1.3.gz	merged		
12	2	GDN001.A0102.SG1.3.gz	merged		
13	4	GDN001.A0102.SG1.3.gz	merged		
14	3	GDN001.A0102.SG1.3.gz	merged		
15	2	GDN001.A0102.SG1.3.gz	merged		
16	4	GDN001.A0102.SG1.3.gz	merged		
17	2	GDN001.A0102.SG1.3.gz	merged		
19	1	GDN001.A0102.SG1.3.gz	merged		
21	1	GDN001.A0102.SG1.3.gz	merged		
24	1	GDN001.A0102.SG1.3.gz	merged		
26	2	GDN001.A0102.SG1.3.gz	merged		
65	1	GDN001.A0102.SG1.3.gz	merged		
76	1	GDN001.A0102.SG1.3.gz	merged		
1	5967358	GOY005.A0101.SG1.2.gz	merged		
2	431152	GOY005.A0101.SG1.2.gz	merged		
3	29236	GOY005.A0101.SG1.2.gz	merged		
4	1848	GOY005.A0101.SG1.2.gz	merged		
5	119	GOY005.A0101.SG1.2.gz	merged		
6	8	GOY005.A0101.SG1.2.gz	merged		
7	2	GOY005.A0101.SG1.2.gz	merged		
8	1	GOY005.A0101.SG1.2.gz	merged		
10	1	GOY005.A0101.SG1.2.gz	merged		
1	1204745	GOY005.A0103.SG1.4.gz	merged		
2	35502	GOY005.A0103.SG1.4.gz	merged		
3	524	GOY005.A0103.SG1.4.gz	merged		
4	5	GOY005.A0103.SG1.4.gz	merged		
1	6227952	GOY006.A0101.SG1.2.gz	merged		
2	179707	GOY006.A0101.SG1.2.gz	merged		
3	9184	GOY006.A0101.SG1.2.gz	merged		
4	1777	GOY006.A0101.SG1.2.gz	merged		
5	581	GOY006.A0101.SG1.2.gz	merged		
6	199	GOY006.A0101.SG1.2.gz	merged		
7	93	GOY006.A0101.SG1.2.gz	merged		
